,time,Discharge,T_a,RH,v_a
364,2021-11-26 07:15:00,,,,
365,2021-11-26 07:30:00,,,,
366,2021-11-26 07:45:00,,,,
367,2021-11-26 08:00:00,,,,
368,2021-11-26 08:15:00,,,,
369,2021-11-26 08:30:00,,,,
370,2021-11-26 08:45:00,,,,
371,2021-11-26 09:00:00,,,,
372,2021-11-26 09:15:00,,,,
373,2021-11-26 09:30:00,,,,
374,2021-11-26 09:45:00,,,,
375,2021-11-26 10:00:00,,,,
376,2021-11-26 10:15:00,,,,
377,2021-11-26 10:30:00,,,,
378,2021-11-26 10:45:00,,,,
379,2021-11-26 11:00:00,,,,
380,2021-11-26 11:15:00,,,,
381,2021-11-26 11:30:00,,,,
382,2021-11-26 11:45:00,,,,
383,2021-11-26 12:00:00,,,,
384,2021-11-26 12:15:00,,,,
385,2021-11-26 12:30:00,,,,
386,2021-11-26 12:45:00,,,,
387,2021-11-26 13:00:00,,,,
388,2021-11-26 13:15:00,,,,
389,2021-11-26 13:30:00,,,,
390,2021-11-26 13:45:00,,,,
391,2021-11-26 14:00:00,,,,
392,2021-11-26 14:15:00,,,,
393,2021-11-26 14:30:00,,,,
394,2021-11-26 14:45:00,,,,
395,2021-11-26 15:00:00,,,,
396,2021-11-26 15:15:00,,,,
397,2021-11-26 15:30:00,,,,
398,2021-11-26 15:45:00,,,,
399,2021-11-26 16:00:00,,,,
400,2021-11-26 16:15:00,,,,
401,2021-11-26 16:30:00,,,,
402,2021-11-26 16:45:00,,,,
403,2021-11-26 17:00:00,,,,
404,2021-11-26 17:15:00,,,,
405,2021-11-26 17:30:00,,,,
406,2021-11-26 17:45:00,,,,
407,2021-11-26 18:00:00,,,,
408,2021-11-26 18:15:00,,,,
409,2021-11-26 18:30:00,,,,
410,2021-11-26 18:45:00,,,,
411,2021-11-26 19:00:00,,,,
412,2021-11-26 19:15:00,,,,
413,2021-11-26 19:30:00,,,,
414,2021-11-26 19:45:00,,,,
415,2021-11-26 20:00:00,,,,
416,2021-11-26 20:15:00,,,,
417,2021-11-26 20:30:00,,,,
418,2021-11-26 20:45:00,,,,
419,2021-11-26 21:00:00,,,,
420,2021-11-26 21:15:00,,,,
421,2021-11-26 21:30:00,,,,
422,2021-11-26 21:45:00,,,,
423,2021-11-26 22:00:00,,,,
424,2021-11-26 22:15:00,,,,
425,2021-11-26 22:30:00,,,,
426,2021-11-26 22:45:00,,,,
427,2021-11-26 23:00:00,,,,
428,2021-11-26 23:15:00,,,,
429,2021-11-26 23:30:00,,,,
430,2021-11-26 23:45:00,,,,
431,2021-11-27 00:00:00,,,,
432,2021-11-27 00:15:00,,,,
433,2021-11-27 00:30:00,,,,
434,2021-11-27 00:45:00,,,,
435,2021-11-27 01:00:00,,,,
436,2021-11-27 01:15:00,,,,
437,2021-11-27 01:30:00,,,,
438,2021-11-27 01:45:00,,,,
439,2021-11-27 02:00:00,,,,
440,2021-11-27 02:15:00,,,,
441,2021-11-27 02:30:00,,,,
442,2021-11-27 02:45:00,,,,
443,2021-11-27 03:00:00,,,,
444,2021-11-27 03:15:00,,,,
445,2021-11-27 03:30:00,,,,
446,2021-11-27 03:45:00,,,,
447,2021-11-27 04:00:00,,,,
448,2021-11-27 04:15:00,,,,
449,2021-11-27 04:30:00,,,,
450,2021-11-27 04:45:00,,,,
451,2021-11-27 05:00:00,,,,
452,2021-11-27 05:15:00,,,,
453,2021-11-27 05:30:00,,,,
454,2021-11-27 05:45:00,,,,
455,2021-11-27 06:00:00,,,,
456,2021-11-27 06:15:00,,,,
457,2021-11-27 06:30:00,,,,
458,2021-11-27 06:45:00,,,,
459,2021-11-27 07:00:00,,,,
460,2021-11-27 07:15:00,,,,
461,2021-11-27 07:30:00,,,,
462,2021-11-27 07:45:00,,,,
463,2021-11-27 08:00:00,,,,
464,2021-11-27 08:15:00,,,,
465,2021-11-27 08:30:00,,,,
466,2021-11-27 08:45:00,,,,
467,2021-11-27 09:00:00,,,,
468,2021-11-27 09:15:00,,,,
469,2021-11-27 09:30:00,,,,
470,2021-11-27 09:45:00,,,,
471,2021-11-27 10:00:00,,,,
472,2021-11-27 10:15:00,,,,
473,2021-11-27 10:30:00,,,,
474,2021-11-27 10:45:00,,,,
475,2021-11-27 11:00:00,,,,
476,2021-11-27 11:15:00,,,,
477,2021-11-27 11:30:00,,,,
478,2021-11-27 11:45:00,,,,
479,2021-11-27 12:00:00,,,,
480,2021-11-27 12:15:00,,,,
481,2021-11-27 12:30:00,,,,
482,2021-11-27 12:45:00,,,,
483,2021-11-27 13:00:00,,,,
484,2021-11-27 13:15:00,,,,
485,2021-11-27 13:30:00,,,,
486,2021-11-27 13:45:00,,,,
487,2021-11-27 14:00:00,,,,
488,2021-11-27 14:15:00,,,,
489,2021-11-27 14:30:00,,,,
490,2021-11-27 14:45:00,,,,
491,2021-11-27 15:00:00,,,,
492,2021-11-27 15:15:00,,,,
493,2021-11-27 15:30:00,,,,
494,2021-11-27 15:45:00,,,,
495,2021-11-27 16:00:00,,,,
496,2021-11-27 16:15:00,,,,
497,2021-11-27 16:30:00,,,,
498,2021-11-27 16:45:00,,,,
499,2021-11-27 17:00:00,,,,
500,2021-11-27 17:15:00,,,,
501,2021-11-27 17:30:00,,,,
502,2021-11-27 17:45:00,,,,
503,2021-11-27 18:00:00,,,,
504,2021-11-27 18:15:00,,,,
505,2021-11-27 18:30:00,,,,
506,2021-11-27 18:45:00,,,,
507,2021-11-27 19:00:00,,,,
508,2021-11-27 19:15:00,,,,
509,2021-11-27 19:30:00,,,,
510,2021-11-27 19:45:00,,,,
511,2021-11-27 20:00:00,,,,
512,2021-11-27 20:15:00,,,,
513,2021-11-27 20:30:00,,,,
514,2021-11-27 20:45:00,,,,
515,2021-11-27 21:00:00,,,,
516,2021-11-27 21:15:00,,,,
517,2021-11-27 21:30:00,,,,
518,2021-11-27 21:45:00,,,,
519,2021-11-27 22:00:00,,,,
520,2021-11-27 22:15:00,,,,
521,2021-11-27 22:30:00,,,,
522,2021-11-27 22:45:00,,,,
523,2021-11-27 23:00:00,,,,
524,2021-11-27 23:15:00,,,,
525,2021-11-27 23:30:00,,,,
526,2021-11-27 23:45:00,,,,
527,2021-11-28 00:00:00,,,,
528,2021-11-28 00:15:00,,,,
529,2021-11-28 00:30:00,,,,
530,2021-11-28 00:45:00,,,,
531,2021-11-28 01:00:00,,,,
532,2021-11-28 01:15:00,,,,
533,2021-11-28 01:30:00,,,,
534,2021-11-28 01:45:00,,,,
535,2021-11-28 02:00:00,,,,
536,2021-11-28 02:15:00,,,,
537,2021-11-28 02:30:00,,,,
538,2021-11-28 02:45:00,,,,
539,2021-11-28 03:00:00,,,,
540,2021-11-28 03:15:00,,,,
541,2021-11-28 03:30:00,,,,
542,2021-11-28 03:45:00,,,,
543,2021-11-28 04:00:00,,,,
544,2021-11-28 04:15:00,,,,
545,2021-11-28 04:30:00,,,,
546,2021-11-28 04:45:00,,,,
547,2021-11-28 05:00:00,,,,
548,2021-11-28 05:15:00,,,,
549,2021-11-28 05:30:00,,,,
550,2021-11-28 05:45:00,,,,
551,2021-11-28 06:00:00,,,,
552,2021-11-28 06:15:00,,,,
553,2021-11-28 06:30:00,,,,
554,2021-11-28 06:45:00,,,,
555,2021-11-28 07:00:00,,,,
556,2021-11-28 07:15:00,,,,
557,2021-11-28 07:30:00,,,,
558,2021-11-28 07:45:00,,,,
559,2021-11-28 08:00:00,,,,
560,2021-11-28 08:15:00,,,,
561,2021-11-28 08:30:00,,,,
562,2021-11-28 08:45:00,,,,
563,2021-11-28 09:00:00,,,,
564,2021-11-28 09:15:00,,,,
565,2021-11-28 09:30:00,,,,
566,2021-11-28 09:45:00,,,,
567,2021-11-28 10:00:00,,,,
568,2021-11-28 10:15:00,,,,
569,2021-11-28 10:30:00,,,,
570,2021-11-28 10:45:00,,,,
571,2021-11-28 11:00:00,,,,
572,2021-11-28 11:15:00,,,,
573,2021-11-28 11:30:00,,,,
574,2021-11-28 11:45:00,,,,
575,2021-11-28 12:00:00,,,,
576,2021-11-28 12:15:00,,,,
577,2021-11-28 12:30:00,,,,
578,2021-11-28 12:45:00,,,,
579,2021-11-28 13:00:00,,,,
580,2021-11-28 13:15:00,,,,
581,2021-11-28 13:30:00,,,,
582,2021-11-28 13:45:00,,,,
583,2021-11-28 14:00:00,,,,
584,2021-11-28 14:15:00,,,,
585,2021-11-28 14:30:00,,,,
586,2021-11-28 14:45:00,,,,
587,2021-11-28 15:00:00,,,,
588,2021-11-28 15:15:00,,,,
589,2021-11-28 15:30:00,,,,
590,2021-11-28 15:45:00,,,,
591,2021-11-28 16:00:00,,,,
592,2021-11-28 16:15:00,,,,
593,2021-11-28 16:30:00,,,,
594,2021-11-28 16:45:00,,,,
595,2021-11-28 17:00:00,,,,
596,2021-11-28 17:15:00,,,,
597,2021-11-28 17:30:00,,,,
598,2021-11-28 17:45:00,,,,
599,2021-11-28 18:00:00,,,,
600,2021-11-28 18:15:00,,,,
601,2021-11-28 18:30:00,,,,
602,2021-11-28 18:45:00,,,,
603,2021-11-28 19:00:00,,,,
604,2021-11-28 19:15:00,,,,
605,2021-11-28 19:30:00,,,,
606,2021-11-28 19:45:00,,,,
607,2021-11-28 20:00:00,,,,
608,2021-11-28 20:15:00,,,,
609,2021-11-28 20:30:00,,,,
610,2021-11-28 20:45:00,,,,
611,2021-11-28 21:00:00,,,,
612,2021-11-28 21:15:00,,,,
613,2021-11-28 21:30:00,,,,
614,2021-11-28 21:45:00,,,,
615,2021-11-28 22:00:00,,,,
616,2021-11-28 22:15:00,,,,
617,2021-11-28 22:30:00,,,,
618,2021-11-28 22:45:00,,,,
619,2021-11-28 23:00:00,,,,
620,2021-11-28 23:15:00,,,,
621,2021-11-28 23:30:00,,,,
622,2021-11-28 23:45:00,,,,
623,2021-11-29 00:00:00,,,,
624,2021-11-29 00:15:00,,,,
625,2021-11-29 00:30:00,,,,
626,2021-11-29 00:45:00,,,,
627,2021-11-29 01:00:00,,,,
628,2021-11-29 01:15:00,,,,
629,2021-11-29 01:30:00,,,,
630,2021-11-29 01:45:00,,,,
631,2021-11-29 02:00:00,,,,
632,2021-11-29 02:15:00,,,,
633,2021-11-29 02:30:00,,,,
634,2021-11-29 02:45:00,,,,
635,2021-11-29 03:00:00,,,,
636,2021-11-29 03:15:00,,,,
637,2021-11-29 03:30:00,,,,
638,2021-11-29 03:45:00,,,,
639,2021-11-29 04:00:00,,,,
640,2021-11-29 04:15:00,,,,
641,2021-11-29 04:30:00,,,,
642,2021-11-29 04:45:00,,,,
643,2021-11-29 05:00:00,,,,
644,2021-11-29 05:15:00,,,,
645,2021-11-29 05:30:00,,,,
646,2021-11-29 05:45:00,,,,
647,2021-11-29 06:00:00,,,,
648,2021-11-29 06:15:00,,,,
649,2021-11-29 06:30:00,,,,
650,2021-11-29 06:45:00,,,,
651,2021-11-29 07:00:00,,,,
652,2021-11-29 07:15:00,,,,
653,2021-11-29 07:30:00,,,,
654,2021-11-29 07:45:00,,,,
655,2021-11-29 08:00:00,,,,
656,2021-11-29 08:15:00,,,,
657,2021-11-29 08:30:00,,,,
658,2021-11-29 08:45:00,,,,
659,2021-11-29 09:00:00,,,,
660,2021-11-29 09:15:00,,,,
661,2021-11-29 09:30:00,,,,
662,2021-11-29 09:45:00,,,,
663,2021-11-29 10:00:00,,,,
664,2021-11-29 10:15:00,,,,
665,2021-11-29 10:30:00,,,,
666,2021-11-29 10:45:00,,,,
667,2021-11-29 11:00:00,,,,
668,2021-11-29 11:15:00,,,,
669,2021-11-29 11:30:00,,,,
670,2021-11-29 11:45:00,,,,
671,2021-11-29 12:00:00,,,,
672,2021-11-29 12:15:00,,,,
673,2021-11-29 12:30:00,,,,
674,2021-11-29 12:45:00,,,,
675,2021-11-29 13:00:00,,,,
676,2021-11-29 13:15:00,,,,
677,2021-11-29 13:30:00,,,,
678,2021-11-29 13:45:00,,,,
679,2021-11-29 14:00:00,,,,
680,2021-11-29 14:15:00,,,,
681,2021-11-29 14:30:00,,,,
682,2021-11-29 14:45:00,,,,
683,2021-11-29 15:00:00,,,,
684,2021-11-29 15:15:00,,,,
685,2021-11-29 15:30:00,,,,
686,2021-11-29 15:45:00,,,,
687,2021-11-29 16:00:00,,,,
688,2021-11-29 16:15:00,,,,
689,2021-11-29 16:30:00,,,,
690,2021-11-29 16:45:00,,,,
691,2021-11-29 17:00:00,,,,
692,2021-11-29 17:15:00,,,,
693,2021-11-29 17:30:00,,,,
694,2021-11-29 17:45:00,,,,
695,2021-11-29 18:00:00,,,,
696,2021-11-29 18:15:00,,,,
697,2021-11-29 18:30:00,,,,
698,2021-11-29 18:45:00,,,,
699,2021-11-29 19:00:00,,,,
700,2021-11-29 19:15:00,,,,
701,2021-11-29 19:30:00,,,,
702,2021-11-29 19:45:00,,,,
703,2021-11-29 20:00:00,,,,
704,2021-11-29 20:15:00,,,,
705,2021-11-29 20:30:00,,,,
706,2021-11-29 20:45:00,,,,
707,2021-11-29 21:00:00,,,,
708,2021-11-29 21:15:00,,,,
