 

stn;time;pva200s0;tre200s0;rre150z0;ure200s0;tde200s0;fkl010z0
MMGTT;202112020500;6.1;0.5;0.0;97.1;0.1;0.5
MMGTT;202112020510;6.1;0.4;0.0;97.1;0.0;0.5
MMGTT;202112020520;6.1;0.4;0.0;97.1;0.0;0.0
MMGTT;202112020530;6.1;0.4;0.0;97.1;0.0;0.5
MMGTT;202112020540;6.1;0.4;0.0;97.1;0.0;1.0
MMGTT;202112020550;6.1;0.3;0.0;97.1;-0.1;1.5
MMGTT;202112020600;6.1;0.3;0.0;97.1;-0.1;1.5
MMGTT;202112020610;6.1;0.3;0.0;97.1;-0.1;1.5
MMGTT;202112020620;6.1;0.3;0.0;97.1;-0.1;2.1
MMGTT;202112020630;6.1;0.3;0.0;97.1;-0.1;1.5
MMGTT;202112020640;6.1;0.3;0.0;97.1;-0.1;1.0
MMGTT;202112020650;6.1;0.3;0.0;97.1;-0.1;1.5
MMGTT;202112020700;6.1;0.3;0.0;97.1;-0.1;2.1
MMGTT;202112020710;6.1;0.3;0.0;97.1;-0.1;1.0
MMGTT;202112020720;6.0;0.2;0.0;97.1;-0.2;1.0
MMGTT;202112020730;6.0;0.2;0.0;97.1;-0.2;0.5
MMGTT;202112020740;6.1;0.3;0.0;97.1;-0.1;0.5
MMGTT;202112020750;6.1;0.3;0.0;97.1;-0.1;1.5
MMGTT;202112020800;6.1;0.3;0.0;97.1;-0.1;2.1
MMGTT;202112020810;6.1;0.3;0.0;97.1;-0.1;2.6
MMGTT;202112020820;6.0;0.2;0.0;96.4;-0.3;5.1
MMGTT;202112020830;5.9;0.1;0.0;96.4;-0.4;4.6
MMGTT;202112020840;5.9;0.0;0.0;97.1;-0.4;5.1
MMGTT;202112020850;5.9;-0.1;0.2;97.1;-0.5;3.1
MMGTT;202112020900;5.8;-0.2;0.0;97.1;-0.6;3.1
MMGTT;202112020910;5.8;-0.2;0.0;97.1;-0.6;4.1
MMGTT;202112020920;5.8;-0.3;0.0;97.1;-0.7;2.6
MMGTT;202112020930;5.8;-0.3;0.0;97.1;-0.7;1.0
MMGTT;202112020940;5.8;-0.2;0.0;97.1;-0.6;1.5
MMGTT;202112020950;5.8;-0.2;0.0;97.1;-0.6;2.1
MMGTT;202112021000;5.8;-0.2;0.0;97.1;-0.6;1.5
MMGTT;202112021010;5.9;-0.1;0.0;97.1;-0.5;1.0
MMGTT;202112021020;5.9;0.0;0.0;97.1;-0.4;0.5
MMGTT;202112021030;6.0;0.1;0.0;97.1;-0.3;0.0
MMGTT;202112021040;6.0;0.2;0.0;97.1;-0.2;0.5
MMGTT;202112021050;6.1;0.3;0.0;97.1;-0.1;0.5
MMGTT;202112021100;6.1;0.4;0.0;97.1;0.0;0.0
MMGTT;202112021110;6.1;0.6;0.0;96.4;0.1;0.0
MMGTT;202112021120;6.2;0.6;0.0;97.1;0.2;0.0
MMGTT;202112021130;6.2;0.7;0.0;96.4;0.2;0.0
MMGTT;202112021140;6.1;0.6;0.0;96.4;0.1;0.0
MMGTT;202112021150;6.1;0.6;0.0;95.7;0.0;0.5
MMGTT;202112021200;6.1;0.4;0.0;96.4;-0.1;1.0
MMGTT;202112021210;6.1;0.4;0.0;96.4;-0.1;0.5
MMGTT;202112021220;6.0;0.4;0.0;95.7;-0.2;0.0
MMGTT;202112021230;6.0;0.4;0.0;95.7;-0.2;0.0
MMGTT;202112021240;6.0;0.4;0.0;95.7;-0.2;0.5
MMGTT;202112021250;6.0;0.3;0.0;96.4;-0.2;0.0
MMGTT;202112021300;6.0;0.3;0.0;95.7;-0.3;2.1
MMGTT;202112021310;5.7;-0.2;0.2;95.0;-0.9;5.7
MMGTT;202112021320;5.6;-0.6;0.2;96.4;-1.1;7.2
MMGTT;202112021330;5.6;-0.7;0.0;95.7;-1.3;4.1
MMGTT;202112021340;5.6;-0.8;0.4;96.4;-1.3;2.1
MMGTT;202112021350;5.5;-0.8;0.0;95.7;-1.4;2.1
MMGTT;202112021400;5.5;-0.8;0.4;95.7;-1.4;1.5
MMGTT;202112021410;5.6;-0.7;0.2;97.1;-1.1;1.5
MMGTT;202112021420;5.6;-0.7;0.0;97.1;-1.1;2.1
MMGTT;202112021430;5.6;-0.7;0.4;97.1;-1.1;2.1
MMGTT;202112021440;5.6;-0.7;0.2;97.1;-1.1;2.1
MMGTT;202112021450;5.6;-0.7;0.0;97.1;-1.1;2.1
MMGTT;202112021500;5.6;-0.7;0.0;97.1;-1.1;2.1
MMGTT;202112021510;5.6;-0.7;0.0;97.1;-1.1;3.6
MMGTT;202112021520;5.6;-0.7;0.0;97.1;-1.1;3.6
MMGTT;202112021530;5.6;-0.7;0.0;97.1;-1.1;4.6
MMGTT;202112021540;5.4;-1.2;0.2;97.1;-1.6;7.7
MMGTT;202112021550;5.3;-1.5;0.0;97.1;-1.9;7.2
MMGTT;202112021600;5.2;-1.8;0.4;97.1;-2.2;7.7
MMGTT;202112021610;5.2;-1.8;0.6;97.1;-2.2;6.2
MMGTT;202112021620;5.1;-2.1;0.4;97.1;-2.5;6.2
MMGTT;202112021630;5.0;-2.3;0.2;97.1;-2.7;7.2
MMGTT;202112021640;4.9;-2.4;0.2;96.4;-2.9;6.2
MMGTT;202112021650;4.9;-2.7;0.2;97.1;-3.1;6.7
MMGTT;202112021700;4.9;-2.7;0.2;97.1;-3.1;5.1
MMGTT;202112021710;4.9;-2.7;0.2;97.1;-3.1;5.1
MMGTT;202112021720;4.9;-2.7;0.2;97.1;-3.1;5.7
MMGTT;202112021730;4.8;-2.8;0.0;97.1;-3.2;5.7
MMGTT;202112021740;4.8;-3.0;0.2;97.1;-3.4;6.7
MMGTT;202112021750;4.7;-3.1;0.2;97.1;-3.5;6.7
MMGTT;202112021800;4.7;-3.1;0.2;97.1;-3.5;7.2
MMGTT;202112021810;4.7;-3.2;0.2;97.1;-3.6;7.2
MMGTT;202112021820;4.7;-3.3;0.2;97.1;-3.7;6.2
MMGTT;202112021830;4.7;-3.3;0.2;97.1;-3.7;4.1
MMGTT;202112021840;4.6;-3.4;0.0;97.0;-3.8;5.1
MMGTT;202112021850;4.6;-3.4;0.2;96.3;-3.9;5.1
MMGTT;202112021900;4.6;-3.5;0.0;97.0;-3.9;5.1
MMGTT;202112021910;4.5;-3.6;0.0;97.0;-4.0;5.1
MMGTT;202112021920;4.5;-3.7;0.2;97.0;-4.1;5.1
MMGTT;202112021930;4.5;-3.7;0.0;97.0;-4.1;5.7
MMGTT;202112021940;4.5;-3.7;0.2;97.0;-4.1;5.7
MMGTT;202112021950;4.5;-3.8;0.2;97.0;-4.2;5.1
MMGTT;202112022000;4.5;-3.8;0.2;97.0;-4.2;5.1
MMGTT;202112022010;4.5;-3.8;0.2;97.0;-4.2;4.1
MMGTT;202112022020;4.4;-3.9;0.2;97.0;-4.3;3.6
MMGTT;202112022030;4.4;-3.9;0.2;97.0;-4.3;3.6
MMGTT;202112022040;4.5;-3.8;0.2;97.0;-4.2;5.1
MMGTT;202112022050;4.4;-3.9;0.2;97.0;-4.3;5.1
MMGTT;202112022100;4.5;-3.8;0.0;97.0;-4.2;5.1
MMGTT;202112022110;4.5;-3.8;0.2;97.0;-4.2;5.1
MMGTT;202112022120;4.5;-3.8;0.0;97.0;-4.2;5.1
MMGTT;202112022130;4.5;-3.8;0.2;97.0;-4.2;5.1
MMGTT;202112022140;4.5;-3.8;0.0;97.0;-4.2;5.1
MMGTT;202112022150;4.5;-3.8;0.0;97.0;-4.2;5.1
MMGTT;202112022200;4.4;-3.9;0.0;97.0;-4.3;5.1
MMGTT;202112022210;4.4;-3.9;0.2;96.3;-4.4;5.1
MMGTT;202112022220;4.4;-3.9;0.0;96.3;-4.4;5.1
MMGTT;202112022230;4.4;-3.9;0.0;96.3;-4.4;3.1
MMGTT;202112022240;4.4;-3.9;0.0;96.3;-4.4;2.6
MMGTT;202112022250;4.4;-3.9;0.0;96.3;-4.4;4.1
MMGTT;202112022300;4.4;-4.0;0.0;97.0;-4.4;4.1
MMGTT;202112022310;4.4;-4.0;0.2;97.0;-4.4;3.1
MMGTT;202112022320;4.4;-4.0;0.0;97.0;-4.4;3.6
MMGTT;202112022330;4.4;-4.1;0.0;97.0;-4.5;3.6
MMGTT;202112022340;4.4;-4.1;0.0;97.0;-4.5;3.6
MMGTT;202112022350;4.4;-4.1;0.0;97.0;-4.5;3.6
MMGTT;202112030000;4.3;-4.1;0.0;95.6;-4.7;4.1
MMGTT;202112030010;4.3;-4.2;0.2;96.3;-4.7;4.1
MMGTT;202112030020;4.3;-4.2;0.0;96.3;-4.7;4.6
MMGTT;202112030030;4.3;-4.2;0.0;96.3;-4.7;4.6
MMGTT;202112030040;4.3;-4.2;0.2;96.3;-4.7;5.1
MMGTT;202112030050;4.3;-4.2;0.0;96.3;-4.7;5.1
MMGTT;202112030100;4.3;-4.2;0.0;96.3;-4.7;4.6
MMGTT;202112030110;4.3;-4.2;0.0;96.3;-4.7;4.6
MMGTT;202112030120;4.3;-4.2;0.0;95.6;-4.8;4.1
MMGTT;202112030130;4.3;-4.2;0.2;95.6;-4.8;4.1
MMGTT;202112030140;4.3;-4.2;0.0;95.6;-4.8;4.1
MMGTT;202112030150;4.3;-4.2;0.0;96.3;-4.7;4.1
MMGTT;202112030200;4.3;-4.2;0.0;95.6;-4.8;3.1
MMGTT;202112030210;4.3;-4.2;0.0;95.6;-4.8;3.6
MMGTT;202112030220;4.3;-4.2;0.0;95.6;-4.8;2.6
MMGTT;202112030230;4.3;-4.2;0.0;95.6;-4.8;3.6
MMGTT;202112030240;4.3;-4.2;0.0;95.6;-4.8;3.6
MMGTT;202112030250;4.3;-4.3;0.0;96.3;-4.8;3.1
MMGTT;202112030300;4.2;-4.4;0.0;96.3;-4.9;2.1
MMGTT;202112030310;4.2;-4.4;0.2;96.3;-4.9;1.0
MMGTT;202112030320;4.2;-4.4;0.0;95.6;-5.0;0.0
MMGTT;202112030330;4.2;-4.5;0.0;96.3;-5.0;0.5
MMGTT;202112030340;4.2;-4.5;0.0;96.3;-5.0;0.5
MMGTT;202112030350;4.2;-4.6;0.2;96.3;-5.1;0.0
MMGTT;202112030400;4.2;-4.6;0.0;96.3;-5.1;0.0
MMGTT;202112030410;4.2;-4.6;0.2;96.3;-5.1;0.0
MMGTT;202112030420;4.2;-4.6;0.0;95.6;-5.2;0.0
