,When,sea,T_a,RH,v_a,Discharge,SW_direct,SW_diffuse,Prec,p_a,a,vp_a,LW_in,T_s,T_bulk,f_cone,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,TotalE,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dpt,cdt,s_cone,input,vp_ice,thickness,$q_{T}$,$q_{melt}$
61,2021-01-21 08:15:00,0.15303,-13.09,53.88,0.396,4.13,86.1,28.7,0,698.912,0.35,1.20056,164.8,0.0,0.0,0.077436205629239,36.05821375069333,0.039321934297375495,0.9291573225264551,0.01195824258306134,0.7755635753306841,0.0,0.0,871.5139979715418,-116.65379266881553,22.988717248040363,-135.07453883563892,-13.340455340154316,-12.639118460505044,8.772484258937357,0.0,0.0,8.981922534914359,0.013134088087662223,1.6908425381939933,0,0.0,0.0,0.007524480336257741,908.347775297566,6.134588081412004,0.0001371216707287777,0.0,-116.65379266881553
62,2021-01-21 08:30:00,0.18584,-11.51,43.44,0.403,4.13667,118.05,39.35,0,699.01,0.35,1.1,165.1,0.0,0.0,0.09362939672878773,36.987371073219784,0.04033519201005429,0.8486759962447886,0.012417678180218317,0.7875218179137454,0.0,0.0,891.2228824064323,-106.73469710376341,32.761917684491706,-134.77453883563894,-11.939250991457882,-13.124692636036485,7.217175038841707,0.0,0.0,8.98193667920231,0.013472530646290747,1.6908425381939933,0,0.0,0.0,0.007767777182664733,928.997775297566,6.134590058913134,0.00011281078285189824,0.0,-106.73469710376341
63,2021-01-21 08:45:00,0.21695,-9.4,37.33,0.02,4.13667,150.675,50.225,0,699.108,0.35,1.11825,164.9,0.0,0.0,0.10888927099227223,37.83604706946457,0.041260683827115126,0.6896171836108431,0.0006140291892246743,0.7999394960939638,0.0,0.0,911.0451387320073,-85.55574506439686,43.3107290893944,-134.97453883563892,-0.48396666024285545,-0.6489886746556155,6.592031342090527,0.0,0.0,8.981949912761552,0.013781658141336148,1.6908425381939933,0,0.0,0.0,0.00796793926221001,949.681125297566,6.134592036388827,0.00010303922752025364,0.0,-85.55574506439686
64,2021-01-21 09:00:00,0.24624,-8.98,41.98,0.642,4.13333,184.575,61.525,0,699.206,0.35,1.29984,164.4,0.0,0.0,0.12315634789848096,38.52566425307541,0.0420127200142589,0.7086588862313091,0.018996859971267547,0.8005535252831885,0.0,0.0,931.0382575192073,-90.19449178384092,54.766778893685384,-135.47453883563892,-14.843278455824711,-20.078413417709175,5.356546613937337,0.0,0.0,8.981960887150416,0.01403284897677059,1.6908425381939933,0,0.0,0.0,0.008150763793804526,970.3644752975661,6.134594013839096,8.372749730827198e-05,0.0,-90.19449178384092
65,2021-01-21 09:15:00,0.27357,-10.22,41.83,1.106,4.13667,218.85,72.95,0,699.29,0.35,1.17427,165.9,0.0,0.0,0.13637547641554362,39.234323139306724,0.04278552141691028,0.6986297596986646,0.033576721420255966,0.819550385254456,0.0,0.0,950.9772517730047,-90.75844910630074,66.81725245880212,-133.97453883563892,-29.105607216001108,-35.4883087494512,5.504444486537173,0.0,0.0,8.981972371052835,0.014290975690983872,1.6908425381939933,0,0.0,0.0,0.008299323360860807,991.0311252975661,6.1345957087762395,8.603927498247537e-05,0.0,-90.75844910630074
66,2021-01-21 09:30:00,0.2988,-8.46,36.44,0.432,4.13667,252.525,84.175,0,699.373,0.35,1.17527,166.6,0.0,0.0,0.14848976365145636,39.932952899005386,0.043547385931303584,0.45620574392102736,0.013112335378834654,0.8531271066747119,0.0,0.0,970.9283952918857,-58.172834375376986,79.08704541795461,-133.27453883563894,-9.411878137625484,-13.858828066594322,5.4265371799328195,0.0,0.0,8.98198389730992,0.014545449328196921,1.6908425381939933,0,0.0,0.0,0.00845198495316318,1011.7144752975661,6.134597383517229,8.482151613476921e-05,0.0,-58.172834375376986
67,2021-01-21 09:45:00,0.32178,-7.724,33.07,0.777,4.14333,287.175,95.725,0,699.457,0.35,1.12961,167.4,0.0,0.0,0.15943551023293406,40.38915864292641,0.04404488401627744,0.39899547343121283,0.023801155708790316,0.8662394420535465,0.0,0.0,991.1424272125859,-52.40637097840128,91.98208022324286,-132.47453883563892,-15.45744209969118,-25.156147610817502,3.543529733685963,0.0,0.0,8.98199153374952,0.014711620799368063,1.6908425381939933,0,0.0,0.0,0.008602486038548018,1032.397825297566,6.134599078417271,5.5388440979376156e-05,0.0,-52.40637097840128
68,2021-01-21 10:00:00,0.34238,-6.902,31.72,0.934,1.37667,321.075,107.025,0,699.54,0.35,1.15474,168.6,0.0,0.0,0.169175701161438,40.788154116357624,0.0444799935838142,0.2934952346558042,0.02846677668237942,0.8900405977623368,0.0,0.0,1011.4362805834459,-39.90771629764724,104.87300736276566,-131.27453883563894,-16.605337520790016,-30.087358228884064,3.0991526960160454,0.0,0.0,8.981998283649643,0.014856953613989896,1.6908425381939933,0,0.0,0.0,0.00870076335735065,1053.114475297566,6.134600753121612,4.844243794951879e-05,0.0,-39.90771629764724
69,2021-01-21 10:15:00,0.36047,-5.84,28.24,0.767,0.0,354.0,118.0,0,699.49,0.35,1.11547,170.9,0.0,0.0,0.1776680640149536,41.081649351013425,0.044800053817899047,-0.023561245655561072,0.023561245655561072,0.9185073744447162,0.0,-1.4924868198465888,1017.9976685721077,-22.930387001778374,117.58142152984082,-128.97453883563892,-11.537269695980275,-24.902546960507927,0.0,0.0,0.0,8.982003291129661,0.014963858306827168,1.6908425381939933,0,0.0,0.0,0.008786716254405785,1059.9978252975661,6.134599744265757,3.563352207130425e-05,-47.832933962286305,0.0
70,2021-01-21 10:30:00,0.37592,-5.299,26.92,0.797,0.0,383.025,127.675,0,699.439,0.35,1.10815,172.3,-1.4924868198465888,0.0,0.18485788048813503,41.05808810535786,0.04477435998403256,-0.021131089629387416,0.021131089629387416,0.9420686201002773,0.0,-0.573240065124009,1017.9976685721077,3.864205056816269,129.01212328807915,-121.07402321664614,-7.81355776832342,-22.2360618899854,0.0,3.7396627537066767,0.0,9.021582982671289,0.014889655774333908,1.6945643108559494,0,0.0,0.0,0.008786716254405785,1059.9978252975661,5.421151123414114,-2.860590564674277e-06,-18.371856833169133,0.0
71,2021-01-21 10:45:00,0.38863,-4.54,25.41,0.945,0.0,411.6,137.2,0,699.388,0.35,1.10801,173.4,-2.065726884970598,-0.11755450823245721,0.19074726897918853,41.036957015728476,0.04475131626578896,-0.023576359205135535,0.023576359205135535,0.9631997097296646,0.0,-0.10140899085148089,1017.9976685721077,21.567641752282665,140.2125243426921,-117.50558888413829,-6.021586714325816,-24.817713711430404,0.0,4.882293008054681,0.0,9.018487332202096,0.01488710094971312,1.694273550969455,0,0.0,0.0,0.008786716254405785,1059.9978252975661,5.167859929638457,-2.554287677436354e-06,-3.250071959147739,0.0
72,2021-01-21 11:00:00,0.3985,-3.516,23.48,0.612,0.0,434.4,144.8,0,699.338,0.35,1.10593,175.7,-2.167135875822079,-0.2710533893863352,0.19529949013113992,41.01338065652334,0.04472560595040713,-0.015106299618942876,0.015106299618942876,0.9867760689348002,0.0,0.6618996652916354,1017.9976685721077,37.121099304307236,149.2647640334287,-114.77053756358396,-2.1257886152404857,-15.90777764642582,0.0,4.752661449702989,0.0,9.015032828803236,0.014884249447866493,1.6939490267940902,0,0.0,0.0,0.008786716254405785,1059.9978252975661,5.124190685810589,-2.8508456501373562e-06,21.213321657881416,0.0
73,2021-01-21 11:15:00,0.40545,-2.076,22.13,0.65,0.0,452.4,150.8,0,699.006,0.35,1.16043,177.4,-1.5052362105304435,-0.42050529154244376,0.19849356597369375,40.998274356904396,0.04470913234122617,-0.016985199505097408,0.016985199505097408,1.001882368553743,0.0,0.759573373605381,1017.9976685721077,42.234438565790825,156.3890180102244,-115.91895274660769,-0.9549134194960004,-17.890757579105927,0.0,2.7192867216701218,0.0,9.012819044810744,0.014882421804145047,1.693741026026963,0,0.0,0.0,0.008786716254405785,1059.9978252975661,5.415389129805826,-1.8273487732988873e-06,24.343680986684898,0.0
