,When,h_ice,h_f,r_ice,ice,T_a,Discharge
137,2021-02-01 03:15:00,0.029545481252148065,1.35,1.6771320992284184,79.80379866928335,-7.742,3.58
138,2021-02-01 03:30:00,0.029681702492051966,1.35,1.6771320992284184,80.17173894113054,-7.725,3.58
139,2021-02-01 03:45:00,0.029846668056749317,1.35,1.6771320992284184,80.61731904863055,-7.749,3.58
140,2021-02-01 04:00:00,0.030017498905338707,1.35,1.6771320992284184,81.0787415765286,-7.827,3.58
141,2021-02-01 04:15:00,0.0301672877964559,1.35,1.6771320992284184,81.48332874190918,-8.05,3.58
142,2021-02-01 04:30:00,0.030360789936407864,1.35,1.6771320992284184,82.00598754333518,-8.05,3.58
143,2021-02-01 04:45:00,0.03055596628977385,1.35,1.6771320992284184,82.53316847757337,-8.04,3.58
144,2021-02-01 05:00:00,0.030782238786181075,1.35,1.6771320992284184,83.14434162427462,-7.968,3.58
145,2021-02-01 05:15:00,0.031033342282446013,1.35,1.6771320992284184,83.82258452341925,-7.955,3.58
146,2021-02-01 05:30:00,0.031259587992441926,1.35,1.6771320992284184,84.4336853187055,-8.15,3.58
147,2021-02-01 05:45:00,0.031570036011987615,1.35,1.6771320992284184,85.27222069532255,-8.25,3.58
148,2021-02-01 06:00:00,0.031941819321721715,1.35,1.6771320992284184,86.27642570878675,-8.53,3.58
149,2021-02-01 06:15:00,0.03230512693300983,1.35,1.6771320992284184,87.25773744369536,-8.77,3.58
150,2021-02-01 06:30:00,0.0326271755354121,1.35,1.6771320992284184,88.12760656542329,-9.06,3.58
151,2021-02-01 06:45:00,0.03295218504305936,1.35,1.6771320992284184,89.00547323791146,-9.46,3.58
152,2021-02-01 07:00:00,0.03331059777921888,1.35,1.6771320992284184,89.97356367424179,-9.61,3.58
153,2021-02-01 07:15:00,0.03370313946418113,1.35,1.6771320992284184,91.03383808062841,-9.66,3.58
154,2021-02-01 07:30:00,0.034081381746311486,1.35,1.6771320992284184,92.05548909635341,-9.95,3.58
155,2021-02-01 07:45:00,0.03444322250663322,1.35,1.6771320992284184,93.03283879462433,-10.29,3.58
156,2021-02-01 08:00:00,0.034785675400597536,1.35,1.6771320992284184,93.9578209118696,-10.1,3.58
157,2021-02-01 08:15:00,0.03511733556014365,1.35,1.6771320992284184,94.85365132238681,-8.57,3.58
158,2021-02-01 08:30:00,0.035396068019977425,1.35,1.6771320992284184,95.60652141163442,-6.985,3.58
159,2021-02-01 08:45:00,0.035645356001583355,1.35,1.6771320992284184,96.27986051635133,-5.639,3.58
160,2021-02-01 09:00:00,0.03584889553082583,1.35,1.6771320992284184,96.82963080014817,-4.772,3.58
161,2021-02-01 09:15:00,0.03599917766417473,1.35,1.6771320992284184,97.23555023706693,-4.52,3.58
162,2021-02-01 09:30:00,0.0361161754610124,1.35,1.6771320992284184,97.5515670432885,-4.605,3.58
163,2021-02-01 09:45:00,0.03619676107315118,1.35,1.6771320992284184,97.76923274694992,-4.53,3.58
164,2021-02-01 10:00:00,0.03614040364424881,1.35,1.6782571869015477,97.7480233204024,-3.496,3.58
165,2021-02-01 10:15:00,0.036139437676132764,1.35,1.6782123300994758,97.7401856422871,-2.649,3.58
166,2021-02-01 10:30:00,0.03613974308448034,1.35,1.6782123300994758,97.74101162826,-2.788,3.58
167,2021-02-01 10:45:00,0.036139409703595374,1.35,1.6782110311346836,97.73995868478113,-2.527,3.58
168,2021-02-01 11:00:00,0.03616394113914091,1.35,1.6782110311346836,97.8063045802001,-1.953,3.58
169,2021-02-01 11:15:00,0.03612709500558418,1.35,1.6776391717098345,97.64007647985761,-0.912,3.58
170,2021-02-01 11:30:00,0.036078414564034274,1.35,1.6753785909565904,97.2459047258921,-0.439,3.58
171,2021-02-01 11:45:00,0.03603361448010216,1.35,1.6732982029351127,96.88409139388737,0.547,0.0
172,2021-02-01 12:00:00,0.035961883354405436,1.35,1.669967214205433,96.30664892826621,0.786,0.0
173,2021-02-01 12:15:00,0.035896420916155365,1.35,1.6669273254275787,95.78167652142906,1.346,0.0
174,2021-02-01 12:30:00,0.03583149627599701,1.35,1.6639124104580247,95.26290472052644,1.647,0.0
175,2021-02-01 12:45:00,0.03575482968457315,1.35,1.6603522327876572,94.65272647601677,1.825,0.0
176,2021-02-01 13:00:00,0.03567931564440055,1.35,1.656845576307582,94.05427378361327,2.338,0.0
177,2021-02-01 13:15:00,0.03560876461938417,1.35,1.653569388085045,93.4974374571177,2.684,0.0
178,2021-02-01 13:30:00,0.0355446465416316,1.35,1.650591927571383,92.99328450689278,2.675,0.0
179,2021-02-01 13:45:00,0.03549226022318107,1.35,1.6481592564728436,92.582724830265,3.303,0.0
180,2021-02-01 14:00:00,0.03543910905549331,1.35,1.6456910679588952,92.16740771436324,3.45,0.0
181,2021-02-01 14:15:00,0.03541088099306997,1.35,1.644380237313488,91.94734273770209,3.599,0.0
182,2021-02-01 14:30:00,0.03537969088533621,1.35,1.6429318577386587,91.70459343264326,4.157,0.0
183,2021-02-01 14:45:00,0.03533423296968317,1.35,1.6408209218897605,91.35156498567832,4.691,0.0
