,time,sea,temp,RH,ppt,wind,SW_global,LW_in,press,missing_type,alb,vp_a,cld,SW_diffuse,SW_direct,Discharge,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,unfrozen_water,Qsurf,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,snow2ice,dep,t_cone,fountain_runoff,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
1445,2020-01-30 05:00:00,0.0,-6.131,92.8,0.0,2.157,205.717,282.403,642.303,-,0.25,3.585,0,0.0,205.717,60,-1.1844635041553953,-1.6342731579387693,0.04475123922080902,405125.0465105712,441.79394385013217,17.577071357694493,14948.157126486743,0.0,-1.7311203403629325,4805266.531259677,-43.48110988045449,6.904568009090378,-18.508231012975898,-28.78261266933954,-31.147327990181523,28.129193128066245,-0.07669934511416028,9157.804185707051,446.44010735843335,3.7844728234158524,10.55827269708237,0.0,0.0,0.0006992573591759439,3479.76208631926,120.2379136807397,-18.493645152114226,,-24.987464728340264,5234497.539082444,1.0,0.35818348287015817,5.542154420475606
1446,2020-01-30 06:00:00,0.0,-5.749,84.0,0.0,1.723,282.367,279.844,641.933,-,0.25,3.341,0,0.0,282.367,60,-2.915583844518328,-1.6341280571290062,0.04476128790803247,405227.70735289424,441.90589678614424,10.432209100520591,14965.734197844438,0.0,-0.6834817246970546,4808746.293345996,-7.301669439024869,9.479332937045555,-13.478607286747149,-13.163485024633815,-18.485790760323226,28.128381528900885,0.2184991667328801,9157.804185707051,446.4529886690108,3.7854318289652427,10.55827269708237,0.0,0.0,0.0002507680966983328,3600.0,0.0,-7.30166943902487,0.0,,5238097.539082444,0.0,0.35843673790142194,4.794987120009885
1447,2020-01-30 07:00:00,0.001,-4.672,81.2,0.0,2.062,438.533,277.09,641.299,-,0.25,3.506,0,0.0,438.533,60,-3.599065569215383,-1.63454132387198,0.04514344823800712,405217.2751437937,441.8945203312909,8.761030019660227,14976.166406944958,0.0,0.8002554235139109,4812346.293345996,8.549168702170286,14.847668839618482,-13.276339359491942,-5.959474202101331,-15.522567013733083,28.124924775230532,0.33495566264762866,9157.804185707051,446.5078609226988,3.784759986005694,10.559073849864651,0.0,0.0,-2.548186515060463e-05,3600.0,0.0,8.549168702170286,0.0,,5241697.539082444,0.0,0.35843673790142194,4.526193815248614
1448,2020-01-30 08:00:00,0.154,-3.67,77.53,0.0,2.131,606.467,276.354,640.391,-,0.25,3.61,0,0.0,606.467,60,-2.798810145701472,-1.6351749492332943,0.10438679900376725,405208.51411377406,441.8849663181833,10.936831279522758,14984.92743696462,19.52324019752417,2.798810145701472,4815946.293345996,33.95652986812729,47.48036162356328,-17.47593828303792,-4.9937525316854545,-19.37787487324482,28.12533016720983,0.198403765322368,9157.804185707051,446.50142506205515,3.784732709581531,10.558997751570924,0.0,0.0,-2.1397189039123655e-05,3600.0,0.0,29.899828727036112,4.056701141091177,,5245297.539082444,0.0,0.35843673790142194,4.842339875471306
1449,2020-01-30 09:00:00,0.283,-3.889,83.8,0.0,2.155,270.883,277.019,639.623,-,0.25,3.838,0,0.0,270.883,60,0.0,-1.635550266260355,0.15249688463647165,405178.054042297,441.85174922824103,20.415857699946276,14995.864268244142,0.0,-2.717390758274979,4819546.293345996,-29.030021340189514,30.981610200736007,-29.168687021652374,-22.516186018708346,-36.17462435503927,28.126739734888375,-0.27887388041390465,9177.327425904576,446.4790487047836,3.784637872714728,10.558733166898723,0.0,0.0,-7.439414093163147e-05,3600.0,0.0,-29.030021340189514,0.0,,5248897.539082444,0.0,0.35843673790142194,6.112911778902558
1450,2020-01-30 10:00:00,0.38,-4.344,85.8,0.0,1.83,179.15,279.432,639.437,-,0.25,3.797,0,0.0,179.15,60,-2.717390758274979,-1.6350227120664398,0.18704556985212664,405157.6381845971,441.8294854793861,8.219699070241372,15016.28012594409,0.0,1.5100768433276135,4823146.293345996,16.132226421111067,25.131910379256368,-14.752059350565276,-7.994984496094315,-14.564879871329849,28.127684596245057,0.18455516359908136,9177.327425904576,446.4640506412834,3.784574305660462,10.55855582164489,0.0,0.0,-4.98651592264217e-05,3600.0,0.0,16.132226421111064,0.0,,5252497.539082444,0.0,0.35843673790142194,4.875607960294327
1451,2020-01-30 11:00:00,0.436,-4.561,96.3,0.0,1.106,96.683,273.319,639.246,-,0.25,4.193,0,0.0,96.683,60,-1.2073139149473653,-1.6353718465417155,0.2062107157569225,405149.4184855268,441.8205217944676,6.165289268115915,15024.49982501433,0.0,-0.5024133922245227,4826746.293345996,-5.367307389804188,14.952802973644907,-27.491114102247252,-9.95935225569605,-10.924720153984751,28.12806503254931,-0.07298888407035464,9177.327425904576,446.45801214794193,3.784548712105969,10.55848441837679,0.0,0.0,-2.007705862462508e-05,3600.0,0.0,-5.367307389804188,0.0,,5256097.539082444,0.0,0.35843673790142194,5.531637533552753
1452,2020-01-30 12:00:00,0.444,-5.228,95.7,0.0,0.866,6.867,279.682,639.321,-,0.25,3.961,0,0.0,6.867,60,-1.709727307171888,-1.635233767998824,0.20889719455510816,405143.2531962587,441.8137984692025,4.846534421866705,15030.665114282447,0.0,-0.6050918011135074,4830346.293345996,-6.464225965885656,1.0758727762574458,-18.911283396417787,-8.1818572483707,-8.588010573575097,28.12835039205492,0.012702084165565591,9177.327425904576,446.45348287282104,3.7845295151094613,10.558430860818433,0.0,0.0,-1.505925547794996e-05,3600.0,0.0,-6.464225965885656,0.0,,5259697.539082444,0.0,0.35843673790142194,5.304948052555514
1453,2020-01-30 13:00:00,0.404,-5.377,95.4,0.0,0.799,0.0,282.27,639.946,-,0.25,3.904,0,0.0,0.0,60,-2.3148191082853953,-1.6352577976054166,0.19533455835027264,405138.40666183684,441.8085132626356,3.7902458439459816,15035.511648704314,0.0,0.11997997212499524,4833946.293345996,1.2817520412099306,0.0,-13.669688917228939,-6.576676631659076,-6.716331329873039,28.12857471826766,0.11587420170332409,9177.327425904576,446.44992239313154,3.7845144242121393,10.558388758835777,0.0,0.0,-1.183820211881148e-05,3600.0,0.0,1.2817520412099306,0.0,,5263297.539082444,0.0,0.35843673790142194,5.043182060347409
1454,2020-01-30 14:00:00,0.32,-5.436,95.2,0.0,0.005,-0.167,274.324,640.047,-,0.25,3.878,0,-0.0,-0.167,60,-2.1948391361604,-1.6354770075041865,0.1658623620390353,405134.6164159929,441.8043799520097,0.025320656935837633,15039.30189454826,0.0,0.5592481227082317,4837546.293345996,5.974475657298174,-0.02077426084538917,-22.140442559184237,-0.043568037240856415,-0.044868588780282104,28.128750156328433,0.09537894702050544,9177.327425904576,446.44713790010644,3.7845026222496787,10.55835583262813,0.0,0.0,-9.258173019121444e-06,3600.0,0.0,5.974475657298174,0.0,,5266897.539082444,0.0,0.35843673790142194,5.094130581772306
