,When,T_a,RH,p_a,v_a,SnowHeight,SW_global,LW_in
147,2020-12-06 18:30:00,1.746356,33.11551,67.97186,1.142222,104.4,-3.417467,230.4082
148,2020-12-06 19:00:00,1.005424,35.23507,67.99466,0.4425586,104.5,-3.744707,226.166
149,2020-12-06 19:30:00,0.4799013,37.20514,68.01974,0.4985475,104.5,-2.440642,216.5793
150,2020-12-06 20:00:00,0.09344086,37.78294,68.04405,0.5958147,104.5,-1.976613,216.0791
151,2020-12-06 20:30:00,-0.08022862,37.08269,68.08086,0.4569371,104.6,-1.780068,216.6673
152,2020-12-06 21:00:00,-0.6756187,37.52404,68.10252,0.7567421,104.3,-2.353084,215.5954
153,2020-12-06 21:30:00,-0.6364434,36.67829,68.14959,0.7685495,104.6,-0.2000791,232.6751
154,2020-12-06 22:00:00,-1.055295,37.5848,68.18156,0.6663413,104.5,-0.9377273,246.307
155,2020-12-06 22:30:00,-0.9607253,37.86927,68.20271,0.5393397,104.5,0.04607362,258.5511
156,2020-12-06 23:00:00,-1.001246,38.24967,68.21232,0.6783952,104.5,-0.4482753,259.4571
157,2020-12-06 23:30:00,-1.176552,40.19764,68.20475,0.5844439,104.6,-0.8584284,256.6512
158,2020-12-07 00:00:00,-0.9628482,39.83144,68.18606,0.428857,104.5,-0.06814002,260.1709
159,2020-12-07 00:30:00,-2.007539,41.88572,68.18594,0.7169651,104.5,-1.200978,264.9341
160,2020-12-07 01:00:00,-2.17637,43.23418,68.17068,0.4918495,104.5,-0.721283,262.7318
161,2020-12-07 01:30:00,-2.699749,43.92148,68.1652,0.6574265,104.4,-1.355969,259.8269
162,2020-12-07 02:00:00,-2.980294,45.21918,68.15791,0.431404,104.5,-0.9341316,258.9509
163,2020-12-07 02:30:00,-3.207278,45.71021,68.15164,0.4686132,104.5,-0.7306557,259.3394
164,2020-12-07 03:00:00,-3.146965,45.52971,68.13639,0.6558576,104.5,-1.000035,248.3454
165,2020-12-07 03:30:00,-2.979366,45.33492,68.13268,0.5007023,104.5,-0.1648376,255.9248
166,2020-12-07 04:00:00,-2.68322,44.30927,68.12673,0.5055939,104.5,-0.08340384,264.8982
167,2020-12-07 04:30:00,-2.948344,45.13715,68.1226,0.2636401,104.6,-0.4839954,260.667
168,2020-12-07 05:00:00,-3.248616,45.65549,68.12691,0.6686332,104.5,-0.5464506,260.9175
169,2020-12-07 05:30:00,-2.674058,44.82416,68.12835,1.041165,104.4,-0.08507638,262.7088
170,2020-12-07 06:00:00,-2.87065,44.72266,68.15218,0.7410244,104.4,-1.064554,269.6404
171,2020-12-07 06:30:00,-3.258203,46.24236,68.18251,0.3772945,104.6,-0.8543431,265.221
172,2020-12-07 07:00:00,-3.321844,46.67341,68.20936,0.532442,104.5,0.02495758,272.7629
173,2020-12-07 07:30:00,-3.235925,46.92537,68.24559,0.85348,104.6,3.798974,277.0505
174,2020-12-07 08:00:00,-3.010267,46.57172,68.27733,0.5567503,104.5,27.11347,277.4094
175,2020-12-07 08:30:00,-2.315759,45.2729,68.29581,0.6842647,104.5,57.04302,273.9956
176,2020-12-07 09:00:00,-2.518229,48.27478,68.32295,0.547814,104.5,102.3885,265.9546
177,2020-12-07 09:30:00,-2.264165,49.93976,68.34934,0.5734075,104.6,181.6028,271.4259
178,2020-12-07 10:00:00,-1.206389,46.03134,68.37208,0.7675831,104.6,296.5682,269.6151
179,2020-12-07 10:30:00,-0.223316,44.61478,68.37801,0.7512488,104.5,340.2405,271.1306
180,2020-12-07 11:00:00,0.6325818,42.76766,68.33755,0.7264867,104.6,312.2867,269.526
181,2020-12-07 11:30:00,0.8641418,43.45644,68.28551,1.068235,104.5,321.5095,272.6248
182,2020-12-07 12:00:00,1.733855,41.39629,68.23321,1.183938,104.9,510.4669,269.4033
183,2020-12-07 12:30:00,2.218623,40.26084,68.16507,1.24364,104.7,605.3855,263.5229
184,2020-12-07 13:00:00,3.292896,38.38781,68.09776,1.424642,104.9,662.5143,242.1264
185,2020-12-07 13:30:00,3.902633,36.77378,68.01545,1.780076,104.8,615.4377,240.8311
186,2020-12-07 14:00:00,4.193261,35.009,67.95377,1.623556,104.9,521.1464,258.7896
187,2020-12-07 14:30:00,4.322379,33.38223,67.91785,1.59443,104.7,383.87,274.5777
188,2020-12-07 15:00:00,4.566413,31.98849,67.88806,1.493101,104.9,258.7466,281.0005
189,2020-12-07 15:30:00,5.104901,30.64686,67.87527,1.99352,104.7,254.7437,259.3066
190,2020-12-07 16:00:00,4.233915,33.2741,67.89771,3.084801,104.8,121.9862,282.4106
191,2020-12-07 16:30:00,3.957551,33.48753,67.8921,3.512128,104.7,83.46012,265.798
192,2020-12-07 17:00:00,3.819965,33.3502,67.88825,3.397484,104.6,25.98627,275.2412
193,2020-12-07 17:30:00,3.730556,34.32149,67.89693,2.796574,104.6,-0.4640397,281.7598
194,2020-12-07 18:00:00,3.628041,35.69406,67.8931,2.090695,104.6,-2.433643,283.7584
195,2020-12-07 18:30:00,3.533419,37.11652,67.92661,2.294891,104.6,-2.504647,280.4368
196,2020-12-07 19:00:00,3.370433,38.26042,67.94998,1.807349,104.5,-2.568998,276.7064
197,2020-12-07 19:30:00,3.167492,40.19771,67.97487,2.031242,104.5,-2.418324,275.6076
198,2020-12-07 20:00:00,2.923491,41.9649,68.00633,2.611016,104.5,-1.743708,287.5933
199,2020-12-07 20:30:00,2.834307,41.38883,68.03223,1.406653,104.6,-1.686134,291.1671
200,2020-12-07 21:00:00,2.554901,42.92152,68.04734,1.2305,104.5,-1.963947,284.2719
201,2020-12-07 21:30:00,2.33733,44.35374,68.04694,0.9170018,104.5,-2.199243,274.6276
202,2020-12-07 22:00:00,1.743131,46.08208,68.04934,0.9560864,104.5,-1.477046,282.9819
203,2020-12-07 22:30:00,1.664005,46.76418,68.06032,1.344197,104.6,-1.09204,290.6978
204,2020-12-07 23:00:00,1.521545,46.85937,68.06252,0.5993894,104.6,-1.595541,287.169
205,2020-12-07 23:30:00,1.28733,48.34228,68.05103,1.048135,104.6,-2.03968,269.0609
206,2020-12-08 00:00:00,0.9807513,49.16622,68.03834,0.7562072,104.5,-2.133862,263.6453
207,2020-12-08 00:30:00,0.8443304,49.30567,68.03196,0.7442016,104.5,-1.653938,256.1139
208,2020-12-08 01:00:00,0.5515121,50.09599,68.03635,0.8324137,104.5,-1.321764,264.3358
209,2020-12-08 01:30:00,0.2463079,51.52254,68.02392,0.8440351,104.5,-1.072088,269.2364
210,2020-12-08 02:00:00,0.2299175,51.94439,68.01143,0.5779068,104.5,-2.232947,245.7937
211,2020-12-08 02:30:00,0.2173473,52.67469,67.9909,0.5657825,104.5,-1.300364,246.6436
212,2020-12-08 03:00:00,-0.3778359,54.37138,67.97179,0.8979923,104.5,-0.9003954,256.9841
213,2020-12-08 03:30:00,-0.9757318,55.72099,67.95963,0.8778287,104.5,-1.650411,252.8713
214,2020-12-08 04:00:00,-1.205154,58.20056,67.95858,0.9391339,104.6,-0.6457273,275.3441
215,2020-12-08 04:30:00,-1.206364,61.17476,67.95222,0.7592104,104.6,-0.6848703,273.5555
216,2020-12-08 05:00:00,-0.9514563,60.98213,67.94949,0.8056947,104.5,-1.940507,253.0741
217,2020-12-08 05:30:00,-1.206402,61.68731,67.95142,0.4606251,104.5,-1.695201,249.8145
218,2020-12-08 06:00:00,-1.621866,63.86555,67.95393,0.3758492,104.6,-1.918043,233.7533
219,2020-12-08 06:30:00,-2.091552,65.15736,67.9599,0.5754507,104.5,-1.678046,228.1921
220,2020-12-08 07:00:00,-2.609438,66.74867,67.97103,0.5937538,104.4,-1.553509,224.4939
221,2020-12-08 07:30:00,-2.561513,66.54187,67.99078,0.6844628,104.4,4.228801,224.5724
222,2020-12-08 08:00:00,-1.505844,64.71833,68.01862,0.4166755,104.4,77.35071,236.3506
223,2020-12-08 08:30:00,-0.3602526,60.39043,68.01865,0.5313845,104.4,164.1636,231.9388
224,2020-12-08 09:00:00,-0.313916,57.48993,68.01851,0.7949765,104.4,307.7614,230.4353
225,2020-12-08 09:30:00,-0.01756109,56.08361,68.00446,0.8130754,104.6,310.0642,245.9657
226,2020-12-08 10:00:00,0.5896821,53.55227,68.00732,0.9054886,104.7,316.2785,271.7114
227,2020-12-08 10:30:00,1.244936,49.97156,67.97901,0.7240102,104.7,356.8628,270.497
228,2020-12-08 11:00:00,2.470111,46.16549,67.94184,0.9467847,104.7,465.4781,271.7064
229,2020-12-08 11:30:00,3.49435,43.26538,67.90451,1.109776,104.6,554.3942,280.5461
230,2020-12-08 12:00:00,4.258964,40.40145,67.85704,1.559421,105,465.3829,283.2773
231,2020-12-08 12:30:00,5.389563,37.98455,67.80614,1.147278,104.8,523.0588,280.2912
232,2020-12-08 13:00:00,6.36121,34.50099,67.74996,2.097863,104.6,521.7833,276.6717
233,2020-12-08 13:30:00,6.209122,33.19559,67.69569,3.037435,104.9,324.694,280.1871
234,2020-12-08 14:00:00,6.441461,33.97988,67.65527,3.557686,104.8,320.4726,278.9581
235,2020-12-08 14:30:00,6.447719,35.05856,67.61398,3.798028,104.8,353.7083,265.9007
236,2020-12-08 15:00:00,6.397757,33.79773,67.58867,3.547217,104.7,242.3304,266.6142
237,2020-12-08 15:30:00,6.295125,34.33816,67.56156,3.434033,104.7,175.922,266.4321
238,2020-12-08 16:00:00,5.957569,35.13261,67.54906,3.163144,104.6,96.00232,273.2068
239,2020-12-08 16:30:00,5.560431,36.49646,67.5513,2.612129,104.6,47.40878,290.7878
240,2020-12-08 17:00:00,5.469708,36.8408,67.5586,3.322714,104.7,20.41821,293.6445
241,2020-12-08 17:30:00,5.216545,37.31733,67.57899,2.598018,104.7,-0.907667,284.5426
