,When,h_ice,h_f,r_ice,ice,T_a,Discharge
12562,2019-03-15 11:45:00,0.2396150747830358,1.35,0.950131677325014,207.72065632021955,4.4,0.0
12563,2019-03-15 11:50:00,0.2395666999294805,1.35,0.949939859340313,207.59487423614962,4.5,0.0
12564,2019-03-15 11:55:00,0.2395083339813741,1.35,0.9497084242512511,207.4431813679635,4.5,0.0
12565,2019-03-15 12:00:00,0.23946011658323732,1.35,0.9495172306153356,207.31792029529882,4.6,0.0
12566,2019-03-15 12:05:00,0.23940730994428672,1.35,0.949307839530549,207.18079497367296,4.5,0.0
12567,2019-03-15 12:10:00,0.23936514176716805,1.35,0.949140632517836,207.07133844431368,4.5,0.0
12568,2019-03-15 12:15:00,0.23931305031305672,1.35,0.9489340773137699,206.936177161577,4.6,0.0
12569,2019-03-15 12:20:00,0.23926529900677443,1.35,0.948744731844694,206.81232890679902,4.5,0.0
12570,2019-03-15 12:25:00,0.23921745105976414,1.35,0.9485550031717772,206.68827957791626,4.3,0.0
12571,2019-03-15 12:30:00,0.23917266967213605,1.35,0.9483774341478811,206.57222547708648,4.1,0.0
12572,2019-03-15 12:35:00,0.23912283049503558,1.35,0.9481798097664524,206.44311484931424,4.3,0.0
12573,2019-03-15 12:40:00,0.23907656086853787,1.35,0.9479963395157879,206.32329946880932,4.3,0.0
12574,2019-03-15 12:45:00,0.2390275590698829,1.35,0.9478020355422581,206.1964596732328,4.1,0.0
12575,2019-03-15 12:50:00,0.23897717896786955,1.35,0.947602266262829,206.06610638675028,4.3,0.0
12576,2019-03-15 12:55:00,0.2389309787560315,1.35,0.9474190712580648,205.94661643271496,4.3,0.0
12577,2019-03-15 13:00:00,0.23887997058819135,1.35,0.9472168115458529,205.8147450804865,4.5,0.0
12578,2019-03-15 13:05:00,0.23883112185221256,1.35,0.9470231145028235,205.68850928493234,4.5,0.0
12579,2019-03-15 13:10:00,0.23877099783639766,1.35,0.9467847082504396,205.5332065828452,4.8,0.0
12580,2019-03-15 13:15:00,0.2387084195815124,1.35,0.9465365703470457,205.37164752975232,4.8,0.0
12581,2019-03-15 13:20:00,0.23863902434507245,1.35,0.9462614014643836,205.19258801478364,5.1,0.0
12582,2019-03-15 13:25:00,0.2385685370333432,1.35,0.9459819022392865,205.01081721343058,5.2,0.0
12583,2019-03-15 13:30:00,0.23849863778383684,1.35,0.9457047348230153,204.83066893136274,5.2,0.0
12584,2019-03-15 13:35:00,0.23843490250495966,1.35,0.9454520090398851,204.6664987939952,5.0,0.0
12585,2019-03-15 13:40:00,0.23836743260951926,1.35,0.9451844745995676,204.49280459048128,5.1,0.0
12586,2019-03-15 13:45:00,0.2382898562766405,1.35,0.9448768656924671,204.2932139071124,5.2,0.0
12587,2019-03-15 13:50:00,0.23823046253176763,1.35,0.9446413551408468,204.1404917333801,5.1,0.0
12588,2019-03-15 13:55:00,0.23817298241589768,1.35,0.9444134325906742,203.9927626640929,4.9,0.0
12589,2019-03-15 14:00:00,0.23811737776207867,1.35,0.944192946700761,203.84992153813573,4.8,0.0
12590,2019-03-15 14:05:00,0.23805666963602842,1.35,0.9439522243101368,203.69404641448958,4.8,0.0
12591,2019-03-15 14:10:00,0.2379855109069322,1.35,0.9436700627529238,203.5114393411764,5.0,0.0
12592,2019-03-15 14:15:00,0.23792862968779857,1.35,0.9434445149730412,203.3655496334673,4.8,0.0
12593,2019-03-15 14:20:00,0.2378735566550431,1.35,0.9432261370891174,203.2243640348536,4.7,0.0
12594,2019-03-15 14:25:00,0.23781571750402403,1.35,0.9429967908778135,203.07615756324734,5.0,0.0
12595,2019-03-15 14:30:00,0.23775676468565302,1.35,0.9427630287063282,202.92517160926968,5.2,0.0
12596,2019-03-15 14:35:00,0.23769154401933681,1.35,0.9425044130030409,202.75822008599602,5.2,0.0
12597,2019-03-15 14:40:00,0.23762776616342457,1.35,0.9422515183916773,202.59505043970069,5.1,0.0
12598,2019-03-15 14:45:00,0.23756488839848516,1.35,0.9420021928585387,202.43426931065375,5.2,0.0
12599,2019-03-15 14:50:00,0.23749470329070754,1.35,0.9417238919451411,202.25490348758885,5.3,0.0
12600,2019-03-15 14:55:00,0.23743455044120304,1.35,0.9414853713602098,202.1012605549822,5.2,0.0
12601,2019-03-15 15:00:00,0.2373747202336806,1.35,0.9412481301287076,201.9485189219203,5.2,0.0
12602,2019-03-15 15:05:00,0.23731591268883162,1.35,0.9410149440018443,201.798463078389,5.2,0.0
12603,2019-03-15 15:10:00,0.237263266659714,1.35,0.9408061897738588,201.66419229536731,5.1,0.0
12604,2019-03-15 15:15:00,0.23720993288816747,1.35,0.9405947084809415,201.52822820883674,5.0,0.0
12605,2019-03-15 15:20:00,0.23715821789690358,1.35,0.9403896460430424,201.39644925942557,4.9,0.0
12606,2019-03-15 15:25:00,0.237111738524375,1.35,0.9402053440986777,201.27806062135292,5.0,0.0
12607,2019-03-15 15:30:00,0.23706126692657312,1.35,0.940005212016336,201.14955585227563,5.0,0.0
12608,2019-03-15 15:35:00,0.23700690779768158,1.35,0.9397896649337562,201.01121430433503,5.2,0.0
12609,2019-03-15 15:40:00,0.23695583832625627,1.35,0.9395871621380145,200.88130258907935,5.2,0.0
12610,2019-03-15 15:45:00,0.23690362252640793,1.35,0.9393801138730515,200.74853270172144,5.3,0.0
12611,2019-03-15 15:50:00,0.23685131322270506,1.35,0.9391726948427093,200.61558373256992,5.2,0.0
12612,2019-03-15 15:55:00,0.23680596529593104,1.35,0.9389928793541886,200.50037526317587,5.0,0.0
12613,2019-03-15 16:00:00,0.23675759932208018,1.35,0.9388010965796617,200.37754792556188,5.0,0.0
12614,2019-03-15 16:05:00,0.23671196390896468,1.35,0.9386201411383226,200.26170096136295,5.0,0.0
12615,2019-03-15 16:10:00,0.2366559575076098,1.35,0.9383980622223427,200.11958794539856,5.1,0.0
12616,2019-03-15 16:15:00,0.23661612821545483,1.35,0.9382401294537299,200.0185643299197,5.0,0.0
12617,2019-03-15 16:20:00,0.2365803834129446,1.35,0.9380983926736235,199.92792962823228,5.0,0.0
12618,2019-03-15 16:25:00,0.23653957166718795,1.35,0.9379365642390585,199.8244806409219,5.0,0.0
12619,2019-03-15 16:30:00,0.23650179819153133,1.35,0.9377867832796738,199.72876481882298,4.9,0.0
12620,2019-03-15 16:35:00,0.23644388437254008,1.35,0.9375571409918158,199.58207388435574,5.5,0.0
12621,2019-03-15 16:40:00,0.2363820116507403,1.35,0.9373118006976063,199.4254347514857,5.5,0.0
12622,2019-03-15 16:45:00,0.2363344951114494,1.35,0.9371233861363856,199.30519588382046,5.4,0.0
12623,2019-03-15 16:50:00,0.2362904906921451,1.35,0.9369488979796569,199.19388742018373,5.5,0.0
12624,2019-03-15 16:55:00,0.2362429242863612,1.35,0.9367602856857404,199.07361558831158,5.3,0.0
12625,2019-03-15 17:00:00,0.23620407088875767,1.35,0.9366062225748604,198.97541056029144,5.1,0.0
12626,2019-03-15 17:05:00,0.2361672844995814,1.35,0.9364603556519114,198.88245982955794,5.0,0.0
12627,2019-03-15 17:10:00,0.23613706404409265,1.35,0.9363405242427689,198.806121362812,4.9,0.0
12628,2019-03-15 17:15:00,0.23610852034486993,1.35,0.936227341577429,198.73403641194932,4.6,0.0
12629,2019-03-15 17:20:00,0.23608415410169148,1.35,0.9361307235348363,198.67251509789637,4.4,0.0
12630,2019-03-15 17:25:00,0.23605014052422163,1.35,0.935995851480386,198.58665686483883,4.3,0.0
12631,2019-03-15 17:30:00,0.23602707122890967,1.35,0.9359043761495067,198.5284386425353,4.3,0.0
12632,2019-03-15 17:35:00,0.23600150708552423,1.35,0.9358030081431065,198.46393765413688,4.4,0.0
