,When,sea,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,missing,LW_in,vp_a,h_s,DroneV,a,cld,Discharge,T_s,T_bulk,f_cone,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,TotalE,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dpt,cdt,$q_{T}$,$q_{melt}$,s_cone,input,vp_ice,thickness
3420,2019-03-07 12:00:00,0.661,3.8,84.7,1.3,146.136,199.776,0.0,897.3,0,296.537,0.0,,,0.35,0,0.0,0.0,-2.295281172568197,0.3161208456931708,212.27405821754112,0.23148752259273842,0.0,0.11350448255097477,191.6354116665184,1.891088779312018,-0.0,17125.757921432807,165.88529056690643,159.8822133390412,-3.337538835638952,16.322171633888544,-51.62132881055294,0.0,-6.981555570384356,949.2638839392098,6.141954535032695,0.11344140563742426,1.3959301419967114,0.0,0,0.0,0.0,114.2639617563535,0.08126581855676522,6383.544779738637,6.138550683054623,-0.00028567834572445784
3421,2019-03-07 12:15:00,0.655,3.4,88.8,1.3,172.707,194.316,0.0,898.0,0,295.37,0.0,,,0.35,0,0.0,0.0,-2.2085837966710455,0.3138022990124456,210.3829694382291,0.2294252665629543,0.0,0.11282961329788582,191.74891614906937,1.8637225514885556,-0.0,17125.757921432807,164.90569058469686,161.5327048761026,-4.504538835638925,14.615441186890646,-51.62144544743318,0.0,-6.737916642657473,951.0421431052239,6.105422215134154,0.11310352796108848,1.3917724569781353,0.0,0,0.0,-1.4210854715202004e-14,113.28424513726368,0.08126581855676522,6383.544779738637,6.138564552930068,-0.00033576543395450587
3422,2019-03-07 12:30:00,0.645,3.1,89.7,1.2,199.279,188.856,0.0,898.0,0,294.204,0.0,,,0.35,0,0.0,0.0,-2.1246619880730275,0.30991299183863297,208.51924688674055,0.22739285374780865,0.0,0.10353440805091836,191.86174576236726,1.8869478238695647,-0.0,17125.757921432807,163.02894455085448,162.89984821539713,-5.670538835638922,12.300778555482623,-47.65056502839985,0.0,-6.501143384386344,952.8023312486615,6.069311307918337,0.11276855292122233,1.3876504897622122,0.0,0,0.0,0.0,115.37837952245462,0.08126581855676522,6383.544779738637,6.138564552930068,-0.0003328865299614641
3423,2019-03-07 12:45:00,0.632,3.1,87.9,1.3,225.85,183.395,0.0,898.2,0,293.037,0.0,,,0.35,0,0.0,0.0,-2.0434487007923297,0.30481061943406107,206.63229906287097,0.22533511348186583,0.0,0.11148466456907402,191.96528017041817,1.8296005199886245,-0.0,17125.757921432807,164.1733651906858,163.95371095946876,-6.837538835638952,13.328811328967005,-51.621478771310166,0.0,-6.271618262111024,954.5777944079621,6.032640619922643,0.11242736382188842,1.383452056701508,0.0,0,0.0,-1.4210854715202004e-14,112.55188641937563,0.08126581855676522,6383.544779738637,6.138568515639137,-0.0003390401581903015
3424,2019-03-07 13:00:00,0.615,2.8,90.0,0.7,252.422,177.935,0.0,898.4,0,291.871,0.0,,,0.35,0,0.0,0.0,-1.9648649160842733,0.29806069523774603,204.80269854288235,0.22333991116999166,0.0,0.059675364103867506,192.07676483498724,2.087773164213238,-0.0,17125.757921432807,156.99391488937212,164.56184992864652,-8.003538835638949,6.483942252293435,-27.796198820259278,0.0,-6.048338455928906,956.3477195638468,5.996977673387561,0.11209455480924077,1.3793567430929312,0.0,0,0.0,2.842170943040401e-14,129.19771606911283,0.08126581855676522,6383.544779738637,6.138572478298272,-0.00033073448885469436
3425,2019-03-07 13:15:00,0.595,2.8,89.8,0.8,250.098,176.798,0.0,898.2,0,287.56,0.0,,,0.35,0,0.0,0.0,-1.8888538328257476,0.29000947654759,202.7149253786691,0.2210631683518747,0.0,0.06773608808598434,192.1364401990911,1.9188224132256977,-0.0,17125.757921432807,151.32349449772536,162.06371354263948,-12.314538835638928,7.408570068706226,-31.767063859267793,0.0,-5.834250277981389,958.367756639974,5.956152370845647,0.11171235318746166,1.3746536387796198,0.0,0,0.0,-1.4210854715202004e-14,119.55643063845758,0.08126581855676522,6383.544779738637,6.138568515639137,-0.0003796483732497977
3426,2019-03-07 13:30:00,0.572,2.9,89.8,0.8,247.774,175.661,0.0,898.4,0,283.248,0.0,,,0.35,0,0.0,0.0,-1.8152824010274282,0.28060737147708203,200.79610296544342,0.2189706684465032,0.0,0.06730801164316422,192.2041762871771,1.8025911573785522,-0.0,17125.757921432807,144.7958604660418,159.37233705923563,-16.62653883563894,7.6748704210820256,-31.767084366010604,0.0,-5.624808178636914,960.2192710415566,5.918507041974717,0.11135875961434108,1.3703025649899232,0.0,0,0.0,0.0,113.0287761000312,0.08126581855676522,6383.544779738637,6.138572478298272,-0.00035131739000062633
3427,2019-03-07 13:45:00,0.547,3.2,89.2,1.1,245.45,174.524,0.0,898.2,0,278.937,0.0,,,0.35,0,0.0,0.0,-1.7441268666975545,0.27021950056378524,198.99351180806488,0.21700492018327686,0.0,0.09199373886943005,192.27148429882027,1.5560208719323292,-0.0,17125.757921432807,141.83599844509592,156.55209466869772,-20.937538835638918,11.6420386793955,-43.679712806493214,0.0,-5.4205960673583995,961.9298684600657,5.883032665080653,0.11102452668672538,1.3661897296853451,0.0,0,0.0,1.4210854715202004e-14,98.1562856386027,0.08126581855676522,6383.544779738637,6.138568515639137,-0.0003321358324464313
3428,2019-03-07 14:00:00,0.519,3.3,90.7,0.9,243.126,173.387,1.8,898.2,0,274.626,0.002,,,0.35,0,0.0,0.0,-1.6753482450735335,0.25838490494621325,197.43749093613255,0.2153080599085415,0.0,0.07485032876589523,192.3634780376897,1.5322231703175646,-0.0,17125.757921432807,132.88855799738417,153.5346074599695,-25.248538835638954,9.82297013573995,-35.72630310201592,0.0,-5.220480762686333,963.4110390032321,5.852324483608163,0.11073438534357609,1.3626194544047654,0.0,0,0.0,1.4210854715202004e-14,97.16225489536824,0.08126581855676522,6383.544779738637,6.138568515639137,-0.00028843291739773154
3429,2019-03-07 14:15:00,0.489,3.4,87.9,0.8,241.876,165.235,0.0,898.2,0,272.145,0.0,,,0.35,0,0.0,0.0,-1.6089352061534883,0.24548044926769821,195.90526776581498,0.21363715132586147,0.0,0.06621052583384686,192.4383283664556,1.4192970242980838,-0.0,17125.757921432807,122.23705020121051,145.99703894559798,-27.729538835638948,8.996120797714703,-31.767063859267793,0.0,-5.0265707064632235,964.8770516477158,5.822007021125909,0.11044718794160858,1.3590854051935723,0.0,0,0.0,0.0,90.46998634194271,0.08126581855676522,6383.544779738637,6.138568515639137,-0.000285511951252886
