When,h_ice,h_f,r_ice,ice,T_a,Discharge
2021-03-05 17:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,0.3,0.0
2021-03-05 18:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,0.2,0.0
2021-03-05 18:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,0.1,0.0
2021-03-05 18:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,0.1,0.0
2021-03-05 18:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,0.0,0.0
2021-03-05 19:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.05,0.0
2021-03-05 19:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.1,0.0
2021-03-05 19:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.1,0.0
2021-03-05 19:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.1,0.0
2021-03-05 20:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.1,0.0
2021-03-05 20:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.1,0.0
2021-03-05 20:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.1,0.0
2021-03-05 20:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.1,0.0
2021-03-05 21:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.2,0.0
2021-03-05 21:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.3,0.0
2021-03-05 21:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.35,0.0
2021-03-05 21:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.4,0.0
2021-03-05 22:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.55,0.0
2021-03-05 22:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.6,0.0
2021-03-05 22:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.6,0.0
2021-03-05 22:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.6,0.0
2021-03-05 23:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.6,0.0
2021-03-05 23:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.6,0.0
2021-03-05 23:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.7,0.0
2021-03-05 23:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.7,0.0
2021-03-06 00:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.7,0.0
2021-03-06 00:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.7,0.0
2021-03-06 00:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.7,0.0
2021-03-06 00:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.7,0.0
2021-03-06 01:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.7,0.0
2021-03-06 01:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.7,0.0
2021-03-06 01:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.75,0.0
2021-03-06 01:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.8,0.0
2021-03-06 02:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-0.8,0.0
2021-03-06 02:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-1.0,0.0
2021-03-06 02:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-1.15,0.0
2021-03-06 02:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-1.3,0.0
2021-03-06 03:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-1.35,0.0
2021-03-06 03:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-1.4,0.0
2021-03-06 03:30:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-1.4,0.0
2021-03-06 03:45:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-1.4,0.0
2021-03-06 04:00:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-1.4,0.0
2021-03-06 04:15:00,1.156453744663649,2.5,6.004652479585929,40040.72897328667,-1.5,0.0
