,When,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,missing_type,LW_in
111,2019-01-31 20:45:00,-3.4,90.0,0.4,0.0,0.0,0.0,881.7,SW_directSW_diffuseLW_in,267.24
112,2019-01-31 21:00:00,-3.4,90.4,0.5,0.0,0.0,0.0,881.7,SW_directSW_diffuseLW_in,264.216
113,2019-01-31 21:15:00,-3.5,91.2,0.3,0.0,0.0,0.0,881.6,SW_directSW_diffuseLW_in,268.903
114,2019-01-31 21:30:00,-3.3,91.3,0.3,0.0,0.0,0.0,881.6,SW_directSW_diffuseLW_in,273.589
115,2019-01-31 21:45:00,-3.2,91.0,0.4,0.0,0.0,0.0,881.5,SW_directSW_diffuseLW_in,278.275
116,2019-01-31 22:00:00,-3.2,90.4,0.3,0.0,0.0,0.0,881.5,SW_directSW_diffuseLW_in,282.962
117,2019-01-31 22:15:00,-3.2,90.7,0.4,0.0,0.0,0.0,881.6,SW_directSW_diffuseLW_in,283.368
118,2019-01-31 22:30:00,-3.1,91.1,0.3,0.0,0.0,0.0,881.4,SW_directSW_diffuseLW_in,283.774
119,2019-01-31 22:45:00,-3.2,91.1,0.3,0.0,0.0,0.0,881.5,SW_directSW_diffuseLW_in,284.179
120,2019-01-31 23:00:00,-3.2,91.0,0.3,0.0,0.0,0.0,881.6,SW_directSW_diffuseLW_in,284.585
121,2019-01-31 23:15:00,-3.3,91.1,0.3,0.0,0.0,0.0,881.7,SW_directSW_diffuseLW_in,284.114
122,2019-01-31 23:30:00,-3.3,91.3,0.5,0.0,0.0,0.0,882.0,SW_directSW_diffuseLW_in,283.644
123,2019-01-31 23:45:00,-3.2,91.6,0.5,0.0,0.0,0.0,881.4,SW_directSW_diffuseLW_in,283.174
124,2019-02-01 00:00:00,-3.2,91.6,0.5,0.0,0.0,0.0,881.5,SW_directSW_diffuseLW_in,282.703
125,2019-02-01 00:15:00,-2.8,90.8,0.5,0.0,0.0,0.0,881.9,SW_directSW_diffuseLW_in,281.948
126,2019-02-01 00:30:00,-2.8,91.6,0.4,0.0,0.0,0.0,881.8,SW_directSW_diffuseLW_in,281.194
127,2019-02-01 00:45:00,-2.8,91.4,0.5,0.0,0.0,0.0,881.7,SW_directSW_diffuseLW_in,280.439
128,2019-02-01 01:00:00,-2.8,91.5,0.3,0.0,0.0,0.0,881.7,SW_directSW_diffuseLW_in,279.684
129,2019-02-01 01:15:00,-2.8,91.7,0.6,0.0,0.0,0.0,881.7,SW_directSW_diffuseLW_in,281.898
130,2019-02-01 01:30:00,-2.6,92.0,0.4,0.0,0.0,0.0,881.8,SW_directSW_diffuseLW_in,284.112
131,2019-02-01 01:45:00,-2.4,93.0,1.1,0.0,0.0,0.0,881.7,SW_directSW_diffuseLW_in,286.326
132,2019-02-01 02:00:00,-0.8,91.4,0.4,0.0,0.0,0.0,881.7,SW_directSW_diffuseLW_in,288.54
133,2019-02-01 02:15:00,-0.8,93.2,0.3,0.0,0.0,0.0,881.5,SW_directSW_diffuseLW_in,288.396
134,2019-02-01 02:30:00,-0.6,93.8,0.6,0.0,0.0,0.0,881.5,SW_directSW_diffuseLW_in,288.253
135,2019-02-01 02:45:00,-0.5,93.8,0.3,0.0,0.0,0.0,881.6,SW_directSW_diffuseLW_in,288.11
136,2019-02-01 03:00:00,-0.3,94.2,0.5,0.0,0.0,0.0,881.7,SW_directSW_diffuseLW_in,287.966
137,2019-02-01 03:15:00,0.0,92.9,0.3,0.0,0.0,0.0,881.7,SW_directSW_diffuseLW_in,287.784
138,2019-02-01 03:30:00,-0.2,92.5,0.4,0.0,0.0,0.0,881.3,SW_directSW_diffuseLW_in,287.602
139,2019-02-01 03:45:00,-0.3,93.0,0.3,0.0,0.0,0.0,881.0,SW_directSW_diffuseLW_in,287.419
140,2019-02-01 04:00:00,-0.5,93.1,0.4,0.0,0.0,0.0,880.9,SW_directSW_diffuseLW_in,287.237
141,2019-02-01 04:15:00,-0.6,93.5,0.3,0.0,0.0,0.0,880.7,SW_directSW_diffuseLW_in,287.549
142,2019-02-01 04:30:00,-0.6,93.9,0.4,0.0,0.0,0.0,880.6,SW_directSW_diffuseLW_in,287.862
143,2019-02-01 04:45:00,-0.4,94.5,0.4,0.0,0.0,0.0,880.6,SW_directSW_diffuseLW_in,288.174
144,2019-02-01 05:00:00,-0.4,94.4,0.4,0.0,0.0,0.0,880.6,SW_directSW_diffuseLW_in,288.486
145,2019-02-01 05:15:00,-0.3,94.4,0.3,0.0,0.0,0.0,880.9,SW_directSW_diffuseLW_in,289.102
146,2019-02-01 05:30:00,-0.3,94.3,0.8,0.0,0.0,0.0,880.8,SW_directSW_diffuseLW_in,289.718
147,2019-02-01 05:45:00,0.0,94.5,0.5,0.0,0.0,0.0,880.8,SW_directSW_diffuseLW_in,290.334
148,2019-02-01 06:00:00,0.0,94.5,0.4,0.0,0.0,0.0,880.9,SW_directSW_diffuseLW_in,290.95
149,2019-02-01 06:15:00,-0.2,94.4,0.7,0.0,0.0,0.0,880.8,SW_directSW_diffuseLW_in,289.515
150,2019-02-01 06:30:00,0.0,94.7,0.5,0.0,0.0,0.0,880.9,SW_directSW_diffuseLW_in,288.08
151,2019-02-01 06:45:00,0.0,94.4,0.2,0.0,0.0,0.0,880.9,SW_directSW_diffuseLW_in,286.645
152,2019-02-01 07:00:00,0.0,94.5,0.3,0.0,0.0,0.0,881.0,SW_directSW_diffuseLW_in,285.21
153,2019-02-01 07:15:00,0.0,94.4,0.3,0.0,2.961,0.0,881.0,SW_directSW_diffuseLW_in,286.528
154,2019-02-01 07:30:00,0.0,94.4,0.3,0.0,5.922,0.0,881.0,SW_directSW_diffuseLW_in,287.846
155,2019-02-01 07:45:00,0.1,94.5,0.3,0.0,8.882,0.0,881.1,SW_directSW_diffuseLW_in,289.163
156,2019-02-01 08:00:00,0.1,94.6,0.2,0.0,11.843,0.001,881.1,SW_directSW_diffuseLW_in,290.481
157,2019-02-01 08:15:00,0.2,94.7,0.2,0.0,14.933,0.0,881.0,SW_directSW_diffuseLW_in,291.244
158,2019-02-01 08:30:00,0.2,94.5,0.4,0.0,18.022,0.001,881.2,SW_directSW_diffuseLW_in,292.008
159,2019-02-01 08:45:00,0.2,94.6,0.4,0.0,21.112,0.0,881.3,SW_directSW_diffuseLW_in,292.772
160,2019-02-01 09:00:00,0.3,94.5,0.2,0.0,24.202,0.0,881.3,SW_directSW_diffuseLW_in,293.535
161,2019-02-01 09:15:00,0.3,94.6,0.3,0.0,33.493,0.0,881.1,SW_directSW_diffuseLW_in,293.182
162,2019-02-01 09:30:00,0.3,94.3,0.1,0.0,42.784,0.0,881.3,SW_directSW_diffuseLW_in,292.828
163,2019-02-01 09:45:00,0.4,94.4,0.3,0.001,52.075,0.0,881.0,SW_directSW_diffuseLW_in,292.474
164,2019-02-01 10:00:00,0.4,94.2,0.4,0.001,61.366,0.0,881.2,SW_directSW_diffuseLW_in,292.121
165,2019-02-01 10:15:00,0.4,94.1,0.3,0.224,65.61,0.0,881.1,SW_directSW_diffuseLW_in,291.342
166,2019-02-01 10:30:00,0.4,94.1,0.2,0.448,69.853,0.0,880.9,SW_directSW_diffuseLW_in,290.562
