,When,sea,T_a,RH,v_a,p_a,SW_global,SW_diffuse,SW_direct,Prec,cld,h_f,missing_type,a,vp_a,LW_in,e_a,Discharge,T_s,T_bulk,f_cone,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,Qsurf,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dpt,cdt,thickness,fountain_runoff,fountain_froze,Qt,Qmelt,s_cone,input,vp_ice
31,2021-01-19 07:00:00,0.62,-11.27,29.79,2.481,620.365,-2.815,0.0,0.0,0,0,5.0,-,0.35,0.769,143.782,0.539,60.0,-20.922147177317918,-0.8070733544860451,0.3089831779152631,77420.63878653488,84.42817752075777,423.4868945065949,0.6753117458287806,52.36814561549026,0.0,-0.2690736050142347,46748.173067849624,-214.61507226429146,0.0,-74.24332622013844,54.70302098829308,-2.8745497722615285,-208.9922250022906,16.79200774210605,0.0,185.85401816461737,1.3850909413281496,7.629397695927234,0,0.0,0,0.0027243974157417786,3175.837793747576,424.1622062524237,-2.8745497722615285,-211.74052249202992,0.18045798498896878,118769.35306784962,0.9481113416469713
32,2021-01-19 08:00:00,0.588,-11.71,30.48,3.226,620.795,25.22,0.0,25.22,0,0,5.0,-,0.35,0.76,142.599,0.538,60.0,-21.191220782332152,-0.8762758730961608,0.29662054088099515,77844.12568104148,84.88999529012156,391.69875442794194,0.8029167485869594,53.04345736131904,0.0,-0.3198610205809631,49924.0108615972,-199.31851370312765,4.862500526662154,-74.4974668231983,69.91818675557342,-3.417118612647665,-213.14347511925678,16.958859569739495,0.0,185.8865415889631,1.3926673172215283,7.629397695927234,0,0.0,0,0.0024848414574213957,3207.498328823471,392.5016711765289,-3.417118612647665,-195.90139509047998,0.18154656455614396,121945.19086159719,0.9237478888403838
33,2021-01-19 09:00:00,0.498,-10.86,33.34,2.61,621.242,239.4,0.0,239.4,0,0,5.0,-,0.35,0.889,147.689,0.55,60.0,-21.511081802913115,-0.9457979626159012,0.26014493862389015,78235.82443546942,85.31714769407789,329.8592229371845,0.025924343226679303,53.846374109906,0.0,-0.010325900374166322,53131.50919042067,-164.73241679038793,40.48115389926355,-68.30715069442508,63.59286045930795,-0.11031299248911745,-217.5568092759244,17.167841813879168,0.0,185.9167765474889,1.3996749886253197,7.629397695927234,0,0.0,0,0.0022979200124173455,3270.1148527195887,329.88514728041116,-0.11031299248911745,-164.6221037978988,0.18253961488532305,125152.68919042066,0.8955338051239327
34,2021-01-19 10:00:00,0.363,-8.84,31.91,1.812,621.56,421.0,0.0,421.0,0,0,5.0,-,0.35,0.999,154.67,0.559,60.0,-21.52140770328728,-1.0158357940704226,0.2015587960708861,78565.6836584066,85.67686331342051,312.70290135724684,0.0,53.87229845313268,0.0,0.11450517235999998,56401.62404314026,-154.80293480541,55.15656454479798,-61.290699620792054,52.59228499974375,1.2232742676963504,-219.60235345656545,17.117994459709415,0.0,185.94235202494372,1.4055763222847275,7.629397695927234,0,0.28751775991059697,0,0.0019348206548253082,3287.297098642753,312.70290135724684,1.2232742676963504,-156.02620907310634,0.1834581240105627,128422.80404314025,0.894637213725833
35,2021-01-19 11:00:00,0.196,-8.49,31.56,2.339,621.52,570.4,0.0,570.4,0,0,5.0,-,0.35,1.015,155.827,0.56,60.0,-21.40690253092728,-1.0853866338138207,0.1241425466766885,78878.67407752376,86.0181832906475,295.26885059264663,0.0,53.87229845313268,0.0,0.15630663986034923,59688.921141783016,-145.6381702255821,46.027090605849025,-60.527065118686465,69.14440381589374,1.6698450076132956,-218.91678954841527,16.964345012163598,0.0,185.9667158071328,1.4111758652623694,7.629397695927234,0,0.3925309449094145,0,0.0018356225653271313,3304.7311494073533,295.26885059264663,1.6698450076132956,-147.3080152331954,0.18423162329512063,131710.3886595429,0.9046363744075744
36,2021-01-19 12:00:00,0.008,-7.436,28.42,3.045,620.56,667.9,0.0,667.9,0,0,5.0,-,0.35,0.993,157.722,0.558,60.0,-21.25059589106693,-1.1540486870844422,0.0329838908045508,79174.33545906132,86.34060573507232,300.19106077578556,0.0,53.87229845313268,0.0,0.13745599626119678,62993.65229119037,-148.27661654469702,14.319461434433663,-59.16990049431715,96.12195259617255,1.468461028452425,-217.7931328816011,16.776541772162616,0.0,185.98981668646948,1.4164653837639845,7.629397695927234,0,0.34523443503340157,0,0.0017337642546701893,3299.8089392242146,300.19106077578556,1.468461028452425,-149.74507757314944,0.18496556628784613,135015.51233989515,0.918448712725726
37,2021-01-19 13:00:00,0.0,-6.671,21.71,2.415,619.533,683.0,0.0,683.0,0,0,5.0,-,0.35,0.805,154.763,0.541,60.0,-21.113139894805734,-1.221705455847957,0.029158651736632527,79474.87175427214,86.66834433399362,339.6924835562662,0.46192022560850793,53.87229845313268,0.0,-0.1838914484828693,66293.46123041458,-171.62313381714353,12.944983438478012,-62.60270080005762,79.56580309226666,-1.9645372548872266,-216.17199649872288,16.605314205779525,0.0,186.01338407645477,1.4218421167199677,7.629397695927234,0,0.0,0,0.001762131953029355,3259.845596218125,340.1544037818747,-1.9645372548872266,-169.6585965622563,0.18565887376930548,138315.6665135544,0.9307543892953776
38,2021-01-19 14:00:00,0.0,-5.999,21.69,3.615,618.842,623.6,0.0,623.6,0,0,5.0,-,0.35,0.846,157.41,0.545,0.0,-21.2970313432886,-1.2884269135551916,0.029279072765257243,79814.56423782841,87.03878324735922,-0.3756990109059809,0.3756990109059809,54.33421867874119,0.0,8.76809512939498,69553.3068266327,93.67074803207242,11.867979354669371,-59.322016210693164,126.01926801793061,-1.597610518383049,0.0,16.703127388548644,0.0,186.04012588875153,1.4279193719478445,7.629397695927234,0,0.0,0,0.0019914637605504062,0.0,0.0,93.67074803207242,0.0,0.18636361261898604,141575.51210977254,0.914319177322051
39,2021-01-19 15:00:00,0.0,-5.027,19.59,2.276,618.662,431.2,0.0,431.2,0,0,5.0,-,0.35,0.823,159.001,0.543,0.0,-12.52893621389362,-1.3552653591731727,0.029158651736632533,79814.1885388175,87.03837354287623,-4.35936123203539,4.35936123203539,54.70991768964717,0.0,-4.832803399699847,69553.3068266327,-51.62949339180632,8.172586908743366,-89.52557010599304,38.896667083587246,-18.48768942794044,0.0,9.314512149796538,0.0,186.5424622937543,1.4238627550139054,7.640240146690778,0,0.0,0,-2.2022371842270587e-06,0.0,0.0,-51.62949339180632,0.0,0.18636361261898604,141575.51210977254,2.078713021065224
40,2021-01-19 16:00:00,0.0,-5.015,19.94,3.276,618.499,123.4,0.0,123.4,0,0,5.0,-,0.35,0.839,159.452,0.544,0.0,-17.361739613593468,-1.3926386883653648,0.02915865173663253,79809.82917758546,87.0336196047824,-2.4590609533215844,2.4590609533215844,59.06927892168256,0.0,2.4519028506090668,69553.3068266327,26.194010298605175,2.338815455795295,-71.14688703198661,92.11885001400061,-10.429053305436181,0.0,13.312285166232051,0.0,186.53566973889613,1.4238368312810457,7.640101043716247,0,0.0,0,-2.548448238203985e-05,0.0,0.0,26.194010298605175,0.0,0.18636361261898604,141575.51210977254,1.3311313285998345
