When,T_a,RH,v_a,SW_global,Prec,p_a,missing_type,cld
2021-01-27 08:00:00,-15.253,49.454,0.436,134.632,0,620.326,-,0
2021-01-27 09:00:00,-14.453,48.824,1.076,329.275,0,620.713,-,0
2021-01-27 10:00:00,-11.488,45.281,1.486,509.7,0,621.048,-,0
2021-01-27 11:00:00,-10.158,45.198,1.647,644.175,0,620.947,-,0
2021-01-27 12:00:00,-8.619,41.913,2.209,712.175,0,620.471,-,0
2021-01-27 13:00:00,-7.404,39.319,1.942,703.3,0,619.902,-,0
2021-01-27 14:00:00,-6.517,34.993,2.66,622.575,0,619.532,-,0
2021-01-27 15:00:00,-6.134,28.241,2.592,481.025,0,619.265,-,0
2021-01-27 16:00:00,-6.255,26.966,1.647,295.775,0,619.07,-,0
2021-01-27 17:00:00,-7.59,27.596,1.665,37.443,0,619.014,-,0
2021-01-27 18:00:00,-9.035,30.552,2.044,0.0,0,619.238,-,0
2021-01-27 19:00:00,-9.479,27.8,3.477,0.0,0,619.493,-,0
2021-01-27 20:00:00,-9.784,26.231,2.878,0.0,0,619.654,-,0
2021-01-27 21:00:00,-10.531,27.302,3.528,0.0,0,619.863,-,0
2021-01-27 22:00:00,-10.773,29.424,3.618,0.0,0,619.97,-,0
2021-01-27 23:00:00,-11.101,30.922,3.271,0.0,0,620.056,-,0
2021-01-28 00:00:00,-11.476,32.021,3.294,0.0,0,620.046,-,0
2021-01-28 01:00:00,-11.876,34.487,2.64,0.0,0,620.02,-,0
2021-01-28 02:00:00,-12.787,37.282,3.215,0.0,0,619.897,-,0
2021-01-28 03:00:00,-13.311,39.525,2.977,0.0,0,619.702,-,0
2021-01-28 04:00:00,-13.556,39.333,2.945,0.0,0,619.463,-,0
2021-01-28 05:00:00,-14.323,44.03,1.983,0.0,0,619.379,-,0
2021-01-28 06:00:00,-14.895,46.335,1.476,0.0,0,619.543,-,0
2021-01-28 07:00:00,-15.21,47.971,1.231,3.552,0,619.903,-,0
2021-01-28 08:00:00,-15.379,50.863,0.272,134.712,0,620.246,-,0
2021-01-28 09:00:00,-14.167,48.543,0.757,319.5,0,620.582,-,0
2021-01-28 10:00:00,-11.063,41.775,1.591,458.15,0,620.844,-,0
2021-01-28 11:00:00,-9.936,41.238,2.188,642.4,0,620.852,-,0
2021-01-28 12:00:00,-8.644,38.164,1.95,709.9,0,620.518,-,0
2021-01-28 13:00:00,-7.854,35.969,2.54,489.75,0,619.89,-,0
2021-01-28 14:00:00,-7.254,30.077,3.868,499.35,0,619.342,-,0
2021-01-28 15:00:00,-7.015,28.287,3.484,449.325,0,618.848,-,0
2021-01-28 16:00:00,-7.735,28.863,4.236,187.85,0,618.558,-,0
2021-01-28 17:00:00,-8.754,30.308,2.695,52.09,0,618.766,-,0
2021-01-28 18:00:00,-9.572,34.467,0.778,0.0,0,618.986,-,0
2021-01-28 19:00:00,-10.21,35.294,2.622,0.0,0,619.195,-,0
2021-01-28 20:00:00,-10.394,34.059,3.296,0.0,0,619.238,-,0
2021-01-28 21:00:00,-10.385,34.718,2.834,0.0,0,619.136,-,0
2021-01-28 22:00:00,-10.49,36.722,2.23,0.0,0,619.118,-,0
2021-01-28 23:00:00,-10.618,39.53,0.73,0.0,0,619.199,-,0
2021-01-29 00:00:00,-10.793,43.446,1.57,0.0,0,619.154,-,0
2021-01-29 01:00:00,-11.552,56.303,1.714,0.0,0,619.061,-,0
2021-01-29 02:00:00,-11.742,59.216,1.671,0.0,0,618.98,-,0
2021-01-29 03:00:00,-11.818,58.41,2.303,0.0,0,618.756,-,0
2021-01-29 04:00:00,-12.421,53.567,2.16,0.0,0,618.496,-,0
2021-01-29 05:00:00,-12.929,52.856,3.361,0.0,0,618.382,-,0
2021-01-29 06:00:00,-13.142,52.746,2.725,0.0,0,618.474,-,0
2021-01-29 07:00:00,-13.498,53.377,2.827,3.16,0,618.796,-,0
2021-01-29 08:00:00,-13.308,52.706,2.426,74.24,0,619.161,-,0
2021-01-29 09:00:00,-12.369,51.645,1.032,158.7,0,619.589,-,0
2021-01-29 10:00:00,-10.139,45.586,2.474,415.75,0,619.923,-,0
2021-01-29 11:00:00,-8.607,39.482,2.089,523.05,0,619.88,-,0
2021-01-29 12:00:00,-8.038,34.071,2.67,426.85,0,619.439,-,0
2021-01-29 13:00:00,-8.748,30.628,2.94,286.475,0,619.031,-,0
2021-01-29 14:00:00,-8.056,27.908,3.242,272.3,0,618.818,-,0
2021-01-29 15:00:00,-7.76,27.978,4.138,216.425,0,618.668,-,0
2021-01-29 16:00:00,-8.289,29.121,4.216,242.7,0,618.604,-,0
2021-01-29 17:00:00,-9.33,31.911,4.032,47.9,0,618.664,-,0
2021-01-29 18:00:00,-10.057,35.265,2.602,0.0,0,618.966,-,0
2021-01-29 19:00:00,-10.972,35.051,2.974,0.0,0,619.361,-,0
2021-01-29 20:00:00,-11.624,35.467,4.982,0.0,0,619.784,-,0
2021-01-29 21:00:00,-12.052,36.04,4.32,0.0,0,620.243,-,0
2021-01-29 22:00:00,-12.451,34.722,4.564,0.0,0,620.506,-,0
2021-01-29 23:00:00,-12.796,32.594,4.447,0.0,0,620.712,-,0
2021-01-30 00:00:00,-12.93,32.377,3.481,0.0,0,620.851,-,0
2021-01-30 01:00:00,-13.464,33.933,3.744,0.0,0,620.958,-,0
2021-01-30 02:00:00,-13.736,37.552,2.935,0.0,0,621.016,-,0
2021-01-30 03:00:00,-13.968,39.864,3.422,0.0,0,620.986,-,0
2021-01-30 04:00:00,-14.309,42.195,2.832,0.0,0,620.951,-,0
2021-01-30 05:00:00,-14.532,43.588,3.133,0.0,0,620.994,-,0
2021-01-30 06:00:00,-14.63,43.43,3.165,0.0,0,621.176,-,0
2021-01-30 07:00:00,-14.747,44.883,3.057,3.898,0,621.682,-,0
2021-01-30 08:00:00,-14.906,46.139,2.514,144.168,0,622.425,-,0
2021-01-30 09:00:00,-13.902,45.748,1.417,337.175,0,622.721,-,0
2021-01-30 10:00:00,-11.764,40.782,1.882,518.45,0,622.702,-,0
2021-01-30 11:00:00,-10.281,37.929,2.204,652.025,0,622.321,-,0
2021-01-30 12:00:00,-9.288,36.04,2.892,725.1,0,621.597,-,0
2021-01-30 13:00:00,-8.298,34.79,2.779,724.475,0,620.717,-,0
2021-01-30 14:00:00,-7.619,33.45,2.826,633.0,0,620.142,-,0
2021-01-30 15:00:00,-7.152,31.939,2.656,501.375,0,619.95,-,0
2021-01-30 16:00:00,-7.212,31.146,2.107,354.1,0,619.942,-,0
2021-01-30 17:00:00,-8.292,34.227,1.573,57.046,0,620.017,-,0
2021-01-30 18:00:00,-9.268,35.453,4.312,0.0,0,620.286,-,0
2021-01-30 19:00:00,-9.903,34.901,3.992,0.0,0,620.814,-,0
2021-01-30 20:00:00,-10.286,35.451,3.831,0.0,0,621.14,-,0
2021-01-30 21:00:00,-10.4,34.213,3.746,0.0,0,621.226,-,0
2021-01-30 22:00:00,-10.673,34.314,3.238,0.0,0,621.32,-,0
2021-01-30 23:00:00,-10.917,33.806,3.006,0.0,0,621.424,-,0
2021-01-31 00:00:00,-11.592,35.79,3.069,0.0,0,621.398,-,0
2021-01-31 01:00:00,-12.339,37.809,3.773,0.0,0,621.342,-,0
2021-01-31 02:00:00,-12.579,38.136,3.79,0.0,0,621.286,-,0
