,When,sea,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,missing_type,LW_in,DroneV,h_s,a,vp_a,cld,Discharge,T_s,T_bulk,f_cone,TotalE,SW,LW,Qs,Ql,Qf,Qg,ppt,dpt,cdt,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,meltwater,SA,h_ice,r_ice,thickness,fountain_in,$q_{T}$,$q_{melt}$,s_cone,input,vp_ice
381,2019-02-03 16:30:00,0.004,-3.0,90.0,0.797,2.409,22.236,0.0,905.8,v_aSW_directSW_diffuseLW_in,279.098,,,0.834,4.406,0,0.02,-2.3023421387218694,-0.9604996963553483,0.006927367754228037,-120.89796262051516,3.6939462128007103,-10.793252925989748,-1.8545837649894819,-3.4227775962238627,-114.4816210747524,2.5375489324157465,0.0,0.0,0.0,336.7370134213546,0.3672159361192526,0.2999999999999998,0.019415486885124088,1.5814101720312508,0.019415486885124088,-1.332385918043674,148.89784448095364,4.251575090586503,15.845004583104142,0.069559864097144,2.2452623228290873,7.49125070698256e-06,0.0,-113.87156305405178,-7.026399566463383,0.03097071503063501,444.8192774738487,5.069896497983702
382,2019-02-03 16:45:00,0.0,-3.0,89.7,0.806,1.665,13.542,0.0,906.1,v_aSW_directSW_diffuseLW_in,278.41,,,0.833,4.391,0,0.031,-3.6347280567655433,-1.0117457017565477,0.004932474226707994,3.5514750429387307,2.262885499121108,-5.818937017278472,1.7069161662394055,-0.7341446299902885,0.4403066628032052,4.960303732053484,0.0,0.0,0.0,337.0175979344695,0.3675219170495851,0.0,0.0041643917631111185,1.600825658916375,0.0041643917631111185,0.03296495866054688,148.89784448095364,4.270990577471626,15.845017248319225,0.06961782452270499,2.2452623228290873,1.931087673264195e-05,0.46499999999999997,2.817330412948442,0.0,0.03098072924035745,444.8192774738487,4.531807764358806
383,2019-02-03 17:00:00,0.0,-3.2,89.3,0.814,0.921,4.848,0.0,906.4,v_aSW_directSW_diffuseLW_in,277.721,,,0.833,4.307,0,0.043,-3.6017630981049966,-1.111836115996415,0.004928371627136268,-212.83785674931684,0.8103740180548551,-6.647020999462484,1.0915098764147764,-1.250416250879881,-212.80011556972067,4.707395925396677,0.0,0.0,0.0,337.0134335427064,0.36751737572814225,0.6449999999999995,0.00709678724466135,1.604990050679486,0.00709678724466135,-2.3137044106995956,149.36284448095364,4.2751549692347375,15.853674611264868,0.06957889228679287,2.2458765172046053,-2.8660880399805135e-07,0.0,-197.73935923779453,-15.098497511522275,0.03098072924035745,445.28427747384865,4.544470804163845
384,2019-02-03 17:15:00,0.0,-3.2,89.4,0.79,0.691,3.636,0.0,906.7,v_aSW_directSW_diffuseLW_in,277.888,,,0.832,4.312,0,0.044,-5.915467508804593,-1.2068763580888122,0.00493769113983013,20.78038068647917,0.6114212066890408,3.1586336751050226,7.1622362343722585,2.97322222499007,0.9461406551411147,8.901948915171733,0.0,0.0,0.01489568995843289,337.6513367554617,0.3682130171815286,0.0,0.0,1.6120868379241475,0.0,0.27793564234311874,149.36284448095364,4.282251756479399,15.853703412730034,0.0697105920782912,2.2458765172046053,4.3878877953766025e-05,0.6599999999999999,23.75360291146924,0.0,0.03098072924035745,445.28427747384865,3.7301911839613466
385,2019-02-03 17:30:00,0.0,-3.2,90.1,0.765,0.46,2.424,0.0,907.1,v_aSW_directSW_diffuseLW_in,278.055,,,0.832,4.345,0,0.045,-5.637531866461474,-1.386263550390363,0.004928371627136269,16.849274110269224,0.40761286455934514,2.180927010446112,6.228453518917341,2.595922477451838,0.0,8.032280716346426,0.0,0.0,0.013021820094480495,337.6513367554617,0.3682130171815286,0.0,0.0,1.6120868379241475,0.0,0.22752393496849052,150.02284448095364,4.297147446437831,15.873673660309965,0.06962276454827067,2.2472926317556032,0.0,0.675,19.445196587721064,0.0,0.03098072924035745,445.9591731638071,3.8204217230638537
386,2019-02-03 17:45:00,0.0,-3.3,87.8,0.74,0.23,1.212,0.0,907.4,v_aSW_directSW_diffuseLW_in,278.222,,,0.831,4.203,0,0.046,-5.410007931492983,-1.5483295570572209,0.004928371627136269,14.12648645343844,0.20501956580514683,1.4081864693650914,5.217084922337159,1.4706983737480226,0.0,7.296195495931043,0.0,0.0,0.007377404295597689,337.6513367554617,0.3682130171815286,0.0,0.0,1.6120868379241475,0.0,0.18249920232502026,150.69784448095365,4.310169266532312,15.873673660309965,0.06962276454827067,2.2472926317556032,0.0,0.69,15.597184827186464,0.0,0.03098072924035745,446.6471949839016,3.895764135322369
387,2019-02-03 18:00:00,0.0,-3.4,88.4,0.716,0.0,0.0,0.0,907.6,v_aSW_directSW_diffuseLW_in,278.389,,,0.831,4.2,0,0.047,-5.227508729167964,-1.695543693321138,0.004928371627136269,11.865926154031293,0.0,0.819677733973208,4.373008215247704,1.1246782137563434,0.0,6.673240204810381,0.0,0.0,0.005641677473393847,337.6513367554617,0.3682130171815286,0.0,0.0,1.6120868379241475,0.0,0.1520001821552323,151.38784448095365,4.31754667082791,15.873673660309965,0.06962276454827067,2.2472926317556032,0.0,0.705,12.990604367787636,0.0,0.03098072924035745,447.3445723881972,3.957173948134613
388,2019-02-03 18:15:00,0.0,-3.5,88.7,0.721,0.0,0.0,0.0,907.9,v_aSW_directSW_diffuseLW_in,274.973,,,0.83,4.183,0,0.053,-5.075508547012731,-1.8301885631551045,0.004928371627136269,6.7024903489873235,0.0,-3.2267509372157406,3.797583816790758,0.8115499000954057,0.0,6.131657469412306,0.0,0.0,0.004070944679021932,337.6513367554617,0.3682130171815286,0.0,0.0,1.6120868379241475,0.0,0.0879201193606078,152.09284448095366,4.323188348301303,15.873673660309965,0.06962276454827067,2.2472926317556032,0.0,0.7949999999999999,7.514040249082729,0.0,0.03098072924035745,448.0552140656706,4.008995699316805
389,2019-02-03 18:30:00,0.0,-3.6,89.8,0.727,0.0,0.0,0.0,908.3,v_aSW_directSW_diffuseLW_in,271.558,,,0.83,4.203,0,0.059,-4.987588427652123,-1.9539060072297774,0.004928371627136269,2.098841459866713,0.0,-7.00689408339116,3.3739428184935294,0.7700542241168972,0.0,5.731792724764343,0.0,0.0,0.0038627916112841765,337.6513367554617,0.3682130171815286,0.0,0.0,1.6120868379241475,0.0,0.03356831246675352,152.88784448095365,4.327259292980325,15.873673660309965,0.06962276454827067,2.2472926317556032,0.0,0.8849999999999999,2.86889568398361,0.0,0.03098072924035745,448.85428501034966,4.039255426950735
390,2019-02-03 18:45:00,0.0,-3.6,90.7,0.732,0.0,0.0,0.0,908.5,v_aSW_directSW_diffuseLW_in,268.142,,,0.829,4.245,0,0.064,-4.9540201151853696,-2.069555446131265,0.004928371627136269,-248.31588739930226,0.0,-10.562402216743067,3.3156940700811806,0.9192563300312356,-246.51904226190763,5.449863009267259,0.0,0.0,0.0046112280525916535,337.6513367554617,0.3682130171815286,0.9600000000000007,0.0,1.6120868379241475,0.0,-2.642878408866465,153.77284448095364,4.331122084591609,15.873673660309965,0.06962276454827067,2.2472926317556032,0.0,0.0,-225.87201748672715,-22.443869912575117,0.03098072924035745,449.74314780196096,4.050864228223921
391,2019-02-03 19:00:00,0.0,-3.6,90.4,0.737,0.0,0.0,0.0,908.8,v_aSW_directSW_diffuseLW_in,264.726,,,0.829,4.231,0,0.07,-7.596898524051834,-2.179516435541894,0.004942370329900852,18.345578739376663,0.0,-3.153997285119317,9.857624074816119,4.797976212930629,1.4064338766091062,10.235518073070752,0.0,0.0,0.024067958184470745,338.6113367554617,0.36925990922078705,0.0,0.0,1.6120868379241475,0.0,0.2707976063987729,153.77284448095364,4.335733312644201,15.87371699774428,0.06982071387259026,2.2472926317556032,6.595146540501637e-05,1.05,23.14355495230729,0.0,0.03098072924035745,449.7477590300135,3.2246000160388415
392,2019-02-03 19:15:00,0.0,-3.6,89.5,0.715,0.0,0.0,0.0,909.0,v_aSW_directSW_diffuseLW_in,266.145,,,0.828,4.189,0,0.067,-7.326100917653061,-2.3854518544306056,0.004928371627136268,15.413996426086797,0.0,-2.8293516417584215,8.917392073479586,4.104581677593011,0.0,9.325955994365632,0.0,0.0,0.020628653835319893,338.6113367554617,0.36925990922078705,0.0,0.0,1.6120868379241475,0.0,0.22838255582066694,154.82284448095365,4.3598012708286715,15.903747117982988,0.06968868522124348,2.249420427794921,0.0,1.0050000000000001,19.518578103679808,0.0,0.03098072924035745,450.821826988198,3.3015520737892703
393,2019-02-03 19:30:00,0.0,-3.6,87.9,0.693,0.0,0.0,0.0,909.2,v_aSW_directSW_diffuseLW_in,267.564,,,0.828,4.114,0,0.064,-7.097718361832395,-2.5734421401971224,0.004928371627136268,14.31915403740676,0.0,-2.3359006323396443,8.115042940638578,3.3453136447626592,0.0,8.540011729107826,0.0,0.0,0.016812752813545988,338.6113367554617,0.36925990922078705,0.0,0.0,1.6120868379241475,0.0,0.20668802076852372,155.82784448095364,4.380429924663991,15.903747117982988,0.06968868522124348,2.249420427794921,0.0,0.9600000000000001,17.66446768216942,0.0,0.03098072924035745,451.8474556420333,3.3677512342689964
394,2019-02-03 19:45:00,0.0,-3.6,86.8,0.671,0.0,0.0,0.0,909.4,v_aSW_directSW_diffuseLW_in,268.982,,,0.827,4.063,0,0.062,-6.891030341063871,-2.745589558260678,0.004928371627136268,13.46207209739088,0.0,-1.7575869709986023,7.3947361032162116,2.753175525958638,0.0,7.824922965173272,0.0,0.0,0.013836807093623381,338.6113367554617,0.36925990922078705,0.0,0.0,1.6120868379241475,0.0,0.1897310181005134,156.78784448095365,4.397242677477537,15.903747117982988,0.06968868522124348,2.249420427794921,0.0,0.9299999999999999,16.21524762334952,0.0,0.03098072924035745,452.82426839484685,3.428704838369831
395,2019-02-03 20:00:00,0.0,-3.5,88.5,0.649,0.0,0.0,0.0,909.6,v_aSW_directSW_diffuseLW_in,270.401,,,0.827,4.173,0,0.059,-6.701299322963358,-2.9033223960751204,0.004928371627136268,13.01675004360748,0.0,-1.111107484824629,6.958806410951246,2.8860921936262556,0.0,7.169051117480862,0.0,0.0,0.014504814735237041,338.6113367554617,0.36925990922078705,0.0,0.0,1.6120868379241475,0.0,0.18607563192667045,157.71784448095366,4.41107948457116,15.903747117982988,0.06968868522124348,2.249420427794921,0.0,0.8849999999999999,15.902842237233736,0.0,0.03098072924035745,453.7681052019405,3.485543026378219
396,2019-02-03 20:15:00,0.0,-3.6,89.7,0.634,0.0,0.0,0.0,909.7,v_aSW_directSW_diffuseLW_in,266.095,,,0.826,4.198,0,0.066,-6.515223691036687,-3.04783433341047,0.004928371627136268,6.559854839528503,0.0,-6.176349089864857,6.191169025930143,2.689886647216288,0.0,6.545034903463217,0.0,0.0,0.013518732202257818,338.6113367554617,0.36925990922078705,0.0,0.0,1.6120868379241475,0.0,0.10822917479962173,158.60284448095365,4.425584299306397,15.903747117982988,0.06968868522124348,2.249420427794921,0.0,0.9900000000000001,9.249741486744792,0.0,0.03098072924035745,454.6676100166757,3.542119468852217
397,2019-02-03 20:30:00,0.0,-3.6,88.7,0.619,0.0,0.0,0.0,909.8,v_aSW_directSW_diffuseLW_in,261.789,,,0.826,4.152,0,0.072,-6.406994516237066,-3.1797675081538674,0.004928371627136268,0.9879361926662966,0.0,-10.924686739287779,5.820917838943094,2.308748162149007,0.0,6.091705093010981,0.0,0.0,0.01160322058881082,338.6113367554617,0.36925990922078705,0.0,0.0,1.6120868379241475,0.0,0.038573772878710944,159.59284448095366,4.439103031508655,15.903747117982988,0.06968868522124348,2.249420427794921,0.0,1.0799999999999998,3.2966843548153038,0.0,0.03098072924035745,455.671128748878,3.5754115583480917
398,2019-02-03 20:45:00,0.0,-3.6,89.2,0.604,0.0,0.0,0.0,910.0,v_aSW_directSW_diffuseLW_in,257.483,,,0.825,4.175,0,0.079,-6.368420743358355,-3.302562574089451,0.004928371627136268,-266.02005261729425,0.0,-15.388469739088634,5.60304034020229,2.296028074153294,-262.02172892166533,5.787105703257435,0.0,0.0,0.011539292443964582,338.6113367554617,0.36925990922078705,1.1850000000000003,0.0,1.6120868379241475,0.0,-2.7890945039718855,160.67284448095367,4.450706252097466,15.903747117982988,0.06968868522124348,2.249420427794921,0.0,0.0,-238.36828832525487,-27.65176429203942,0.03098072924035745,456.7627319694668,3.587347925129835
