,time,ghi,sea,temp,RH,wind,SW_global,ppt,vp_a,press,LW_in,tcc,Discharge,alb,SW_direct,SW_diffuse,T_F,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,rain2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,rho_air,s_cone,vp_ice,Qr
655,2020-12-19 23:00:00,0.0,0.0,7.45,53.133,6.533,0.0,0.0,5.517,799.933,267.849,0.5,18.0,0.396,0.0,0.0,1.5,0.0,-0.1912241644032995,0.03411296256128378,67290.534112494,73.38117133314505,7.016559241608824,1531.4695164326056,238.92019489730038,-0.0,652774.3751840768,147.51574036261036,0.0,-38.31886980679894,210.2928349748494,-36.94053810686944,12.53583521564141,-0.05352191421205684,13649.970645920535,150.26521708339308,1.4998912478295057,6.835151191190424,0.0,0.0,0.0,0.0,-0.0014192409713242992,1080.0,0.0,5.684341886080802e-14,147.5157403626103,,735246.349458924,0.0,917.0,0.21943790354815568,6.112911778902558,0.0
656,2020-12-20 00:00:00,0.0,0.0,7.25,54.117,6.95,0.0,0.0,5.533,799.749,273.706,0.5,18.0,0.395,0.0,0.0,1.5,0.0,-0.1910189819607343,0.03411296256128378,67044.59735835508,73.11297421848973,7.246297783780338,1538.4860756742144,257.64817437945226,-0.0,653854.3751840768,159.46768814470406,0.0,-32.461869806798916,217.6599115942919,-38.24329680288683,12.566472939635057,-0.05352977953717192,13888.890840817836,149.89886255663274,1.4980617250348927,6.826813876783793,0.0,0.0,0.0,0.0,-0.0017848249905131426,1080.0,0.0,0.0,159.46768814470403,,736326.349458924,0.0,917.0,0.21943790354815568,6.112911778902558,0.0
657,2020-12-20 01:00:00,0.0,0.0,7.267,55.1,5.817,0.0,0.0,5.617,799.762,270.814,0.5,18.0,0.394,0.0,0.0,1.5,0.0,-0.1908135187476117,0.03411296256128378,66779.70288619184,72.82410347458216,5.1728123866786575,1545.7323734579948,213.3947631375571,-0.0,654934.3751840768,132.42670979438753,0.0,-35.35386980679891,182.60678938238493,-27.37234952492644,12.599682555033336,-0.053542811305375866,14146.539015197288,149.50376660461953,1.4960861641838128,6.817811052662998,0.0,0.0,0.0,0.0,-0.0019271043087363572,1080.0,0.0,0.0,132.42670979438753,,737406.349458924,0.0,917.0,0.21943790354815568,6.112911778902558,0.0
658,2020-12-20 02:00:00,0.0,0.0,7.367,55.417,4.45,0.0,0.0,5.7,799.541,267.091,0.5,18.0,0.393,0.0,0.0,1.5,0.0,-0.19060773413733806,0.03411296256128378,66561.1353106676,72.58575279244013,3.28769369062126,1550.9051858446735,156.99355602970698,-0.0,656014.3751840768,97.63888980061076,0.0,-39.076869806798925,141.57721058510515,-17.435157395386966,12.627249964471911,-0.05354354678042304,14359.933778334846,149.1773747490536,1.4944521680728027,6.810364772487197,0.0,0.0,0.0,0.0,-0.0015942787767506462,1080.0,0.0,0.0,97.63888980061076,,738486.349458924,0.0,917.0,0.21943790354815568,6.112911778902558,0.0
659,2020-12-20 03:00:00,0.0,0.0,7.7,54.85,4.933,0.0,0.0,5.767,799.453,264.164,0.5,18.0,0.391,0.0,0.0,1.5,0.0,-0.1904017216975986,0.03411296256128378,66400.85406094727,72.41096407954991,3.04826342000443,1554.1928795352947,190.09962168004373,-0.0,657094.3751840768,118.41870176856335,0.0,-42.003869806798946,164.01996269028848,-16.191424370817582,12.64756193255944,-0.05352867666803617,14516.927334364553,148.93779607836262,1.4932516417447395,6.804893856530329,0.0,0.0,0.0,0.0,-0.0011716837971190274,1080.0,0.0,1.4210854715202004e-14,118.41870176856332,,739566.349458924,0.0,917.0,0.21943790354815568,6.112911778902558,0.0
660,2020-12-20 04:00:00,0.0,0.0,7.833,54.95,4.267,0.0,0.0,5.817,799.248,259.36,0.5,18.0,0.39,0.0,0.0,1.5,0.0,-0.19019560089024598,0.03411296256128378,66207.70617584723,72.20033388860112,2.251217769222485,1557.241142955299,157.20669722733214,-0.0,658174.3751840768,98.11908791820241,0.0,-46.80786980679892,144.28934407284157,-11.981011500856418,12.672147828091223,-0.05352267507505022,14707.026956044596,148.64883408511636,1.4918023707202996,6.7982893866506675,0.0,0.0,0.0,0.0,-0.0014142158437605015,1080.0,0.0,0.0,98.11908791820241,,740646.349458924,0.0,917.0,0.21943790354815568,6.112911778902558,0.0
661,2020-12-20 05:00:00,0.0,0.0,4.833,62.783,2.4,0.0,0.0,5.4,799.012,263.627,0.5,18.0,0.389,0.0,0.0,1.5,0.0,-0.1899893029711521,0.03411296256128378,66048.24826085067,72.02644303255254,3.0456604644371783,1559.4923607245214,6.274003447643333,-0.0,659254.3751840768,3.922160580160488,0.0,-42.54086980679892,50.05912685420612,-16.23512442596378,12.692535571112703,-0.05350761239563288,14864.233653271927,148.4100627054507,1.490603764399603,6.792827220355256,0.0,0.0,0.0,0.0,-0.0011698097541015145,1080.0,0.0,0.0,3.9221605801604866,,741726.349458924,0.0,917.0,0.21943790354815568,6.112911778902558,0.0
662,2020-12-20 06:00:00,0.0,0.0,2.767,72.483,0.667,0.0,0.0,5.417,799.037,261.594,0.5,18.0,0.388,0.0,0.0,1.5,0.0,-0.1897828972705737,0.03411296256128378,66038.92859693858,72.01627982217948,0.8261779853607235,1562.5380211889585,0.0,-0.18323601218556637,660334.3751840768,-28.372680180600586,0.0,-44.57386980679894,7.965330762870838,-4.4044188299527836,12.693729688846418,-0.05345199556611767,14870.50765671957,148.39610155359998,1.4905336511115708,6.792507707240618,0.0,0.0,0.0,0.0,-6.848060156959716e-05,1041.6632707675622,38.336729232437854,-4.4044188299527836,,-23.9682613506478,742806.349458924,1.0,917.0,0.21943790354815568,6.112911778902558,0.0
663,2020-12-20 07:00:00,0.0,0.0,1.917,77.55,0.833,0.0,0.0,5.433,799.139,282.942,0.5,18.0,0.386,0.0,0.0,1.5,-0.18323601218556637,-0.18957669641296793,0.03411296256128379,66076.43914818566,72.05718554873027,0.8725046202240133,1563.3641991743193,0.0,-0.010201429783121446,661376.0384548444,-6.816072744593433,0.0,-22.405155125420833,7.5515718653030195,-4.649629194953079,12.68892521425227,-0.0017855037748090341,14870.50765671957,148.4522895512236,1.4908158087093275,6.793793527024686,0.0,0.0,0.0,0.0,0.0002756522989656488,1069.486064573426,10.51393542657416,-0.24521036500029503,,-6.570862379593138,743886.349458924,1.0,917.0,0.21943790354815568,6.021253782978801,0.0
664,2020-12-20 08:00:00,0.0,0.0,2.1,77.567,0.917,14.807,0.0,5.5,799.299,286.216,0.5,18.0,0.385,7.404,7.404,1.5,-0.1934374419686878,-0.1895698098089416,0.03411296256128378,66086.080578992,72.06769964993674,0.8429024811620923,1564.2367037945432,0.0,0.12065780114097857,662445.5245194178,2.900234975578045,4.708792010504303,-19.085511430196618,9.079615033175674,-4.491440732498279,12.687691042413519,0.0010890521794460174,14870.50765671957,148.46672997498155,1.4908883151307133,6.794123945882201,0.0,0.0,0.0,0.0,7.08247830885753e-05,1080.0,0.0,2.900234975578045,0.0,,744966.349458924,0.0,917.0,0.21943790354815568,6.016187814642174,0.0
665,2020-12-20 09:00:00,69.88,0.106,2.783,75.95,0.75,74.33,0.0,5.667,799.511,285.248,0.5,18.0,0.384,37.165,37.165,1.5,-0.07277964082770924,-0.18957401002766316,0.08559286055826541,66085.23767651083,72.06678045421029,0.5467111956270422,1565.0796062757054,34.40674996508257,0.07277964082770924,663525.5245194178,23.250567893153303,24.853172136191127,-20.593691758836997,9.249373805005119,-2.913197988539046,12.687798927965584,-0.032887228632482925,14870.50765671957,148.4654675483607,1.490881976535194,6.794095060282143,0.0,0.0,0.0,0.0,-6.191257304638399e-06,1080.0,0.0,1.7493942193750378,21.501173673778265,,746046.349458924,0.0,917.0,0.21943790354815568,6.076355046416935,0.0
666,2020-12-20 10:00:00,180.411,0.221,3.767,71.15,0.75,158.0,0.0,5.7,799.361,279.106,0.5,18.0,0.383,79.0,79.0,1.5,0.0,-0.18944717116420473,0.14033878009083234,66050.28421535013,72.02866326646688,0.5512668963146672,1565.6263174713324,80.6556816109609,-0.0,664605.5245194178,50.42044315914994,55.58353315796744,-27.06186980679894,12.19836911832416,-2.9385096733798255,12.692274743997205,-0.05335438096009267,14904.914406684653,148.41311254240645,1.4906190803256554,6.7928970165290465,0.0,0.0,0.0,0.0,-0.0002567411019737213,1080.0,0.0,0.0,50.42044315914994,,747126.349458924,0.0,917.0,0.21943790354815568,6.112911778902558,0.0
667,2020-12-20 11:00:00,265.431,0.303,4.567,68.617,1.417,213.305,0.0,5.8,799.577,277.541,0.5,18.0,0.382,106.652,106.652,1.5,0.0,-0.1892413586688541,0.1782841077151971,65969.07726684284,71.94010607071193,0.7886402759650978,1566.1775843676471,136.54045567550304,-0.0,665685.5245194178,85.42583413942278,77.66180841343346,-28.626869806798936,27.94879488802293,-4.207269686153234,12.702688608563022,-0.053318277644466026,14985.570088295613,148.29144113083092,1.4900079385222689,6.790111983526521,0.0,0.0,0.0,0.0,-0.0005966938785792313,1080.0,0.0,0.0,85.42583413942278,,748206.349458924,0.0,917.0,0.21943790354815568,6.112911778902558,0.0
668,2020-12-20 12:00:00,308.87,0.344,4.433,71.283,0.333,233.412,0.0,5.967,799.577,280.484,0.5,18.0,0.381,116.706,116.706,1.5,0.0,-0.1890356010817188,0.19682312280287684,65831.74817089137,71.79034696934718,0.08630151686146882,1566.9662246436121,126.6645640532752,-0.0,666765.5245194178,79.35720450942266,86.45971596992634,-25.683869806798953,6.375352309888988,-0.46104484996221345,12.720348201370433,-0.05329731500192981,15122.110543971117,148.08556889952578,1.4889732941898504,6.785397008056518,0.0,0.0,0.0,0.0,-0.0010098971337976614,1080.0,0.0,0.0,79.35720450942266,,749286.349458924,0.0,917.0,0.21943790354815568,6.112911778902558,0.0
669,2020-12-20 13:00:00,304.511,0.34,4.067,74.133,0.083,197.558,0.0,6.067,799.459,276.21,0.5,18.0,0.379,98.779,98.779,1.5,0.0,-0.18882978147158228,0.1950285035275061,65704.99730532123,71.65212356087375,0.006759710010237685,1567.0525261604737,91.58352970201835,-0.0,667845.5245194178,57.452191087804984,73.30515046151493,-29.957869806798954,1.4576403853293356,-0.036158532986465076,12.736702078765601,-0.05327349801946484,15248.775108024392,147.89542758799945,1.4880170690990582,6.781039396744476,0.0,0.0,0.0,0.0,-0.0009334022855881336,1080.0,0.0,0.0,57.452191087804984,,750366.349458924,0.0,917.0,0.21943790354815568,6.112911778902558,0.0
670,2020-12-20 14:00:00,252.943,0.291,3.083,76.533,0.5,139.981,0.0,5.833,799.643,284.511,0.5,18.0,0.378,69.99,69.99,1.5,0.0,-0.1886239216320191,0.1727999649979275,65613.4070159092,71.5522432016458,0.24803510744146956,1567.059285870484,75.5288007869336,-0.0,668925.5245194178,47.4248190941747,51.05641566022747,-21.65686980679891,6.657966420343243,-1.3280051769318773,12.748552167027304,-0.053240169692537344,15340.358637726411,147.7579552030997,1.4873253343481445,6.777887093793487,0.0,0.0,0.0,0.0,-0.0006753444704605419,1080.0,0.0,-7.105427357601002e-15,47.42481909417471,,751446.349458924,0.0,917.0,0.21943790354815568,6.112911778902558,0.0
671,2020-12-20 15:00:00,161.754,0.203,2.183,79.9,0.667,64.004,0.0,5.717,799.806,285.968,0.5,18.0,0.377,32.002,32.002,1.5,0.0,-0.18841809489731032,0.13187406957387207,65537.6301800148,71.46960761179368,0.46764001267127064,1567.3073209779254,30.007366398597778,-0.0,670005.5245194178,18.856259464916754,22.566451766115403,-20.199869806798915,6.290224690808973,-2.5057217694294747,12.758377147231453,-0.05320256301068759,15415.887438513344,147.64416965121302,1.4867525437742184,6.775276831096549,0.0,0.0,0.0,0.0,-0.0005592632203019524,1080.0,0.0,0.0,18.856259464916754,,752526.349458924,0.0,917.0,0.21943790354815568,6.112911778902558,0.0
