,time,sea,temp,RH,wind,SW_direct,SW_diffuse,ppt,vp_a,press,LW_in,SW_global,alb,Discharge,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
1653,2020-03-12 14:00:00,0.646,11.95,61.4,0.583,372.007,152.507,0.0,8.567,798.0,265.664,524.514,0.775,0.0,0.0,-1.2915313280486675,0.3082813082863323,25323.848856350764,27.615974761560267,0.0,196.47455151715445,114.74219932921264,-0.0,0.0,59.771172190032935,60.11770604662656,-40.503869806798946,27.898311644552507,12.612580568920293,0.0,-0.35355626326747636,3129.889887186121,178.1046929655891,0.46605613982757443,7.5222326744644645,0.0,0.0,2.839499734210918,-0.0010187524543494454,0.0,0.0,0.0,59.771172190032935,,28650.21329505405,0.0,0.061957155541024884,6.112911778902558
1654,2020-03-12 15:00:00,0.544,10.95,64.617,0.583,237.652,136.107,0.0,8.467,797.653,271.402,373.759,0.774,0.0,0.0,-1.2872625039880567,0.26670727558187257,25211.946156755763,27.493943464292,0.0,196.47455151715445,91.14108172292141,-0.0,0.0,47.61732667551762,45.084856945187795,-34.765869806798946,25.5526088402412,12.098638956695773,0.0,-0.3529082598082011,3244.632086515334,177.57962525147514,0.46536864627682734,7.511136400842092,0.0,0.0,2.7157648803155054,-0.0006851660966162504,0.0,0.0,7.105427357601002e-15,47.61732667551761,,28653.052794788262,0.0,0.061957155541024884,6.112911778902558
1655,2020-03-12 16:00:00,0.406,9.75,69.117,1.267,110.108,105.944,0.0,8.35,797.257,286.474,216.052,0.773,0.0,0.0,-1.2829952090788947,0.20613275559893193,25123.520839913155,27.397514547342592,0.0,196.47455151715445,159.5693543702793,-0.0,0.0,83.56368144260064,29.201476457941595,-19.693869806798944,49.421752518149624,24.98647281575991,0.0,-0.3521505424515545,3335.7731682382555,177.16416802529645,0.4648239498288155,7.502344898984793,0.0,0.0,5.59555744587319,-0.0005430179099254832,0.0,0.0,0.0,83.56368144260064,,28655.768559668577,0.0,0.061957155541024884,6.112911778902558
1656,2020-03-12 17:00:00,0.245,8.533,72.617,1.633,33.257,53.488,0.0,8.067,797.504,286.972,86.745,0.771,0.0,0.0,-1.278732086509744,0.130594065540643,24969.54704298875,27.229604190827427,0.0,196.47455151715445,147.55791744231902,-0.0,0.0,77.59084578344944,13.243337205829901,-19.195869806798953,55.76470002330966,28.1303787396803,0.0,-0.35170037857145797,3495.3425226085346,176.43957267875697,0.4638724189255576,7.486987013443585,0.0,0.0,6.273849443411101,-0.0009477670252778757,0.0,0.0,0.0,77.59084578344944,,28661.36411711445,0.0,0.061957155541024884,6.112911778902558
1657,2020-03-12 18:00:00,0.071,7.917,75.833,1.717,0.828,4.447,0.0,8.083,797.175,302.213,5.275,0.77,0.0,0.0,-1.2744656799420937,0.04521941697831534,24828.262974989844,27.07553214284607,0.0,196.47455151715445,153.31358961424326,-0.0,0.0,80.92291264655996,1.0314215857693505,-3.9548698067989108,54.377993755235224,29.819557693994756,0.0,-0.3511905816404563,3642.900440050854,175.7733833638568,0.4629958607440664,7.4728392015591165,0.0,0.0,6.625472038846162,-0.0008732284126638483,0.0,0.0,0.0,80.92291264655996,,28667.637966557864,0.0,0.061957155541024884,6.112911778902558
1658,2020-03-12 19:00:00,0.0,7.383,81.933,1.433,0.0,0.0,0.0,8.417,797.9,294.819,0.0,0.769,0.0,0.0,-1.2701973920329277,0.009841915630553031,24681.574857414445,26.91556691102993,0.0,196.47455151715445,112.78772911367822,-0.0,0.0,59.767948970506175,0.0,-11.348869806798916,42.360989277354,29.106535951605778,0.0,-0.3507064516546904,3796.214029665097,175.08037414723438,0.46208224892195615,7.458093337031729,0.0,0.0,6.441551803487867,-0.0009100651575045588,0.0,0.0,-7.105427357601002e-15,59.76794897050618,,28674.26343859671,0.0,0.061957155541024884,6.112911778902558
1659,2020-03-12 20:00:00,0.0,6.533,89.833,1.417,0.0,0.0,0.6,8.733,797.357,308.803,0.0,0.767,0.0,0.0,-1.2659265606596475,0.009841915630553031,24575.228680104254,26.799595070997004,0.0,196.47455151715445,135.58220730050462,-0.0,0.0,72.05421642953476,0.0,2.6351301932010642,37.04024832787175,32.72886861966865,0.0,-0.3500307112067021,3909.001758778775,174.57709656517375,0.46141763130842434,7.447366285285596,0.0,0.0,7.222387319854355,-0.0006623920048023198,0.0,0.0,1.4210854715202004e-14,72.05421642953475,,28680.704990400198,0.0,0.061957155541024884,6.112911778902558
1660,2020-03-12 21:00:00,0.0,5.933,93.05,1.35,0.0,0.0,0.0,8.667,797.429,312.928,0.0,0.766,0.0,0.0,-1.261657818539861,0.009841915630553033,24446.868860123603,26.65961707756118,0.0,196.47455151715445,129.11520518317352,-0.0,0.0,68.85735020961309,0.0,6.760130193201064,32.05078805865049,30.395891843131217,0.0,-0.3494598853696795,4044.58396607928,173.9686725926941,0.46061287918842175,7.434377436572718,0.0,0.0,6.684184916571029,-0.0008018118996701678,0.0,0.0,0.0,68.85735020961309,,28687.92737772005,0.0,0.061957155541024884,6.112911778902558
1661,2020-03-12 22:00:00,0.0,5.633,94.233,0.833,0.0,0.0,1.2,8.583,797.272,314.098,0.0,0.765,0.0,0.0,-1.2573885919337535,0.009841915630553031,24324.437839857,26.526104514565976,0.0,196.47455151715445,83.14991701155456,-0.0,0.0,44.4926585671128,0.0,7.93013019320108,18.77283377314626,18.138555320733943,0.0,-0.34886071996848733,4173.699171262453,173.38735807621302,0.4598426686563653,7.421946095505963,0.0,0.0,3.975416527729165,-0.000767451754418978,0.0,0.0,0.0,44.4926585671128,,28694.611562636623,0.0,0.061957155541024884,6.112911778902558
1662,2020-03-12 23:00:00,0.0,5.317,95.117,0.583,0.0,0.0,3.6,8.467,797.224,307.487,0.0,0.763,0.0,0.0,-1.253119546663834,0.009841915630553031,24245.263339373178,26.439763728869334,0.0,196.47455151715445,47.497353682222695,-0.0,0.0,25.47064178557161,0.0,1.3191301932010902,12.400926956993052,12.098638956695773,0.0,-0.3480543213183094,4256.849088274008,173.01091044584683,0.45934320679657803,7.413884688305684,0.0,0.0,2.645894504140693,-0.0004979647112374273,0.0,0.0,7.105427357601002e-15,25.4706417855716,,28698.586979164353,0.0,0.061957155541024884,6.112911778902558
