,time,man,auto,man_field,auto_field
234,2020-12-02 09:00:00,7.5,0.0,0,0
235,2020-12-02 10:00:00,7.5,0.0,0,0
236,2020-12-02 11:00:00,7.5,0.0,0,0
237,2020-12-02 12:00:00,7.5,0.0,0,0
238,2020-12-02 13:00:00,7.5,0.0,0,0
239,2020-12-02 14:00:00,7.5,0.0,0,0
240,2020-12-02 15:00:00,7.5,0.0,0,0
241,2020-12-02 16:00:00,7.5,0.0,0,0
242,2020-12-02 17:00:00,7.5,0.0,0,0
243,2020-12-02 18:00:00,7.5,0.0,0,0
244,2020-12-02 19:00:00,7.5,0.0,0,0
245,2020-12-02 20:00:00,7.5,0.0,0,0
246,2020-12-02 21:00:00,7.5,0.0,0,0
247,2020-12-02 22:00:00,7.5,0.0,0,0
248,2020-12-02 23:00:00,7.5,0.0,0,0
249,2020-12-03 00:00:00,7.5,0.0,0,0
250,2020-12-03 01:00:00,7.5,0.0,0,0
251,2020-12-03 02:00:00,7.5,0.0,0,0
252,2020-12-03 03:00:00,7.5,0.0,0,0
253,2020-12-03 04:00:00,7.5,0.0,0,0
254,2020-12-03 05:00:00,7.5,0.0,0,0
255,2020-12-03 06:00:00,7.5,0.0,0,0
256,2020-12-03 07:00:00,7.5,0.0,0,0
257,2020-12-03 08:00:00,7.5,0.0,0,0
258,2020-12-03 09:00:00,7.5,0.0,0,0
259,2020-12-03 10:00:00,7.5,0.0,0,0
260,2020-12-03 11:00:00,7.5,0.0,0,0
261,2020-12-03 12:00:00,7.5,0.0,0,0
262,2020-12-03 13:00:00,7.5,0.0,0,0
263,2020-12-03 14:00:00,7.5,0.0,0,0
264,2020-12-03 15:00:00,7.5,0.0,0,0
265,2020-12-03 16:00:00,7.5,0.0,0,0
266,2020-12-03 17:00:00,7.5,0.0,0,0
267,2020-12-03 18:00:00,7.5,0.0,0,0
268,2020-12-03 19:00:00,7.5,0.0,0,0
269,2020-12-03 20:00:00,7.5,0.60361720937054,0,0
270,2020-12-03 21:00:00,7.5,0.34997158504006415,0,0
271,2020-12-03 22:00:00,7.5,0.0,0,0
272,2020-12-03 23:00:00,7.5,0.0,0,0
273,2020-12-04 00:00:00,7.5,0.0,0,0
274,2020-12-04 01:00:00,7.5,0.0,0,0
275,2020-12-04 02:00:00,7.5,0.0,0,0
276,2020-12-04 03:00:00,7.5,0.0,0,0
277,2020-12-04 04:00:00,7.5,0.0,0,0
278,2020-12-04 05:00:00,7.5,0.0,0,0
279,2020-12-04 06:00:00,7.5,0.0,0,0
280,2020-12-04 07:00:00,7.5,0.3449498709632424,0,0
281,2020-12-04 08:00:00,7.5,0.0,0,0
282,2020-12-04 09:00:00,7.5,0.0,0,0
283,2020-12-04 10:00:00,7.5,0.0,0,0
284,2020-12-04 11:00:00,7.5,0.0,0,0
285,2020-12-04 12:00:00,7.5,0.0,0,0
286,2020-12-04 13:00:00,7.5,0.0,0,0
287,2020-12-04 14:00:00,7.5,0.0,0,0
288,2020-12-04 15:00:00,7.5,0.0,0,0
289,2020-12-04 16:00:00,7.5,0.0,0,0
290,2020-12-04 17:00:00,7.5,0.0,0,0
291,2020-12-04 18:00:00,7.5,0.0,0,0
292,2020-12-04 19:00:00,7.5,0.0,0,0
293,2020-12-04 20:00:00,7.5,0.0,0,0
294,2020-12-04 21:00:00,7.5,0.0,0,0
295,2020-12-04 22:00:00,7.5,0.0,0,0
296,2020-12-04 23:00:00,7.5,0.0,0,0
297,2020-12-05 00:00:00,7.5,0.0,0,0
298,2020-12-05 01:00:00,7.5,0.0,0,0
299,2020-12-05 02:00:00,7.5,0.0,0,0
300,2020-12-05 03:00:00,7.5,0.0,0,0
301,2020-12-05 04:00:00,7.5,0.0,0,0
302,2020-12-05 05:00:00,7.5,0.0,0,0
303,2020-12-05 06:00:00,7.5,0.0,0,0
304,2020-12-05 07:00:00,7.5,0.0,0,0
305,2020-12-05 08:00:00,7.5,0.0,0,0
306,2020-12-05 09:00:00,7.5,0.0,0,0
307,2020-12-05 10:00:00,7.5,0.0,0,0
308,2020-12-05 11:00:00,7.5,0.0,0,0
309,2020-12-05 12:00:00,7.5,0.0,0,0
310,2020-12-05 13:00:00,7.5,0.0,0,0
311,2020-12-05 14:00:00,7.5,0.0,0,0
312,2020-12-05 15:00:00,7.5,0.0,0,0
313,2020-12-05 16:00:00,7.5,0.0,0,0
314,2020-12-05 17:00:00,7.5,0.0,0,0
315,2020-12-05 18:00:00,7.5,0.0,0,0
316,2020-12-05 19:00:00,7.5,0.0,0,0
317,2020-12-05 20:00:00,7.5,0.0,0,0
318,2020-12-05 21:00:00,7.5,0.0,0,0
319,2020-12-05 22:00:00,7.5,0.0,0,0
320,2020-12-05 23:00:00,7.5,0.0,0,0
321,2020-12-06 00:00:00,7.5,0.0,0,0
322,2020-12-06 01:00:00,7.5,0.0,0,0
323,2020-12-06 02:00:00,7.5,0.0,0,0
324,2020-12-06 03:00:00,7.5,0.0,0,0
325,2020-12-06 04:00:00,7.5,0.0,0,0
326,2020-12-06 05:00:00,7.5,0.0,0,0
327,2020-12-06 06:00:00,7.5,0.0,0,0
328,2020-12-06 07:00:00,7.5,0.0,0,0
329,2020-12-06 08:00:00,7.5,0.0,0,0
330,2020-12-06 09:00:00,7.5,0.0,0,0
331,2020-12-06 10:00:00,7.5,0.0,0,0
332,2020-12-06 11:00:00,7.5,0.0,0,0
333,2020-12-06 12:00:00,7.5,0.0,0,0
334,2020-12-06 13:00:00,7.5,0.0,0,0
335,2020-12-06 14:00:00,7.5,0.0,0,0
336,2020-12-06 15:00:00,7.5,0.0,0,0
337,2020-12-06 16:00:00,7.5,0.0,0,0
338,2020-12-06 17:00:00,7.5,0.0,0,0
339,2020-12-06 18:00:00,7.5,0.0,0,0
340,2020-12-06 19:00:00,7.5,0.0,0,0
341,2020-12-06 20:00:00,7.5,0.0,0,0
342,2020-12-06 21:00:00,7.5,0.0,0,0
343,2020-12-06 22:00:00,7.5,0.0,0,0
344,2020-12-06 23:00:00,7.5,0.0,0,0
345,2020-12-07 00:00:00,7.5,0.0,0,0
346,2020-12-07 01:00:00,7.5,0.0,0,0
347,2020-12-07 02:00:00,7.5,0.0,0,0
348,2020-12-07 03:00:00,7.5,0.0,0,0
349,2020-12-07 04:00:00,7.5,0.0,0,0
350,2020-12-07 05:00:00,7.5,0.0,0,0
351,2020-12-07 06:00:00,7.5,0.0,0,0
352,2020-12-07 07:00:00,7.5,0.0,0,0
353,2020-12-07 08:00:00,7.5,0.0,0,0
354,2020-12-07 09:00:00,7.5,0.0,0,0
355,2020-12-07 10:00:00,7.5,0.0,0,0
356,2020-12-07 11:00:00,7.5,0.0,0,0
357,2020-12-07 12:00:00,7.5,0.0,0,0
358,2020-12-07 13:00:00,7.5,0.0,0,0
359,2020-12-07 14:00:00,7.5,0.0,0,0
360,2020-12-07 15:00:00,7.5,0.0,0,0
361,2020-12-07 16:00:00,7.5,0.0,0,0
362,2020-12-07 17:00:00,7.5,0.0,0,0
363,2020-12-07 18:00:00,7.5,0.0,0,0
364,2020-12-07 19:00:00,7.5,0.0,0,0
365,2020-12-07 20:00:00,7.5,0.0,0,0
366,2020-12-07 21:00:00,7.5,0.0,0,0
367,2020-12-07 22:00:00,7.5,0.0,0,0
368,2020-12-07 23:00:00,7.5,0.0,0,0
369,2020-12-08 00:00:00,7.5,0.0,0,0
